time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	-1.85291	-1.52049	-1.49103	-2.07794
3.996	-0.19680	-3.35941	-1.05118	-2.64433
7.999	-2.69502	-3.10151	0.62809	-2.95891
11.990	-1.60603	-1.39803	-1.24684	-1.88554
15.994	-0.68754	-1.13843	-1.60970	-1.09210
19.997	-1.22789	-0.89044	-1.32359	-1.44866
23.999	-0.46478	-1.47013	-1.17875	-1.21923
27.994	-1.03387	-1.45238	-1.62368	-1.35909
32.000	-0.46388	-1.07588	-1.36122	-1.97335
35.995	0.16844	-1.68661	-1.60065	-0.92678
40.004	0.01134	-0.73067	-1.73966	-3.12174
43.990	1.17999	-0.88581	-1.67191	-3.09550
48.001	1.63839	-1.33453	-1.73009	-3.29134
51.999	0.30079	-1.31834	-1.81072	-3.44651
56.015	-0.32598	-1.13161	-1.72480	-2.80888
59.993	-4.62409	-1.93911	-1.78032	-1.09173
63.996	-0.72632	-1.60572	-1.71694	-0.99789
67.995	0.82404	-2.63836	-1.79336	-1.07445
71.994	-0.96805	-1.37804	-1.77219	1.49536
75.992	2.46716	-2.60616	-0.67439	1.08367
79.995	0.91014	-1.87329	0.06257	1.16974
83.998	1.42055	-0.60122	-1.95081	1.97606
87.995	1.68022	1.27929	-1.73549	1.32287
91.996	0.16320	0.73266	-1.47325	1.33096
95.990	-1.15315	0.73174	-1.37096	0.96515
99.998	-1.57233	1.08654	-1.57409	0.93702
103.993	-1.01749	1.58676	-1.44458	-0.04707
107.995	-2.04542	5.09115	-3.81017	0.42737
111.987	-1.94387	1.35953	-1.71402	1.64013
116.008	-1.94146	1.40654	-0.07847	1.07363
120.005	-1.89129	1.71506	-0.02236	1.13362
123.994	-0.08356	1.46188	-0.65893	1.37368
127.990	-0.44462	0.81517	0.04993	1.49856
131.991	0.16434	0.73576	-0.07440	1.81127
135.994	-0.53505	0.46773	-1.43687	1.29242
139.994	2.92490	1.00158	-1.63417	2.30640
143.995	3.85738	1.76301	-1.93985	3.19577
147.992	2.79956	0.39197	-5.20757	2.46887
151.996	2.81375	0.03507	-5.16558	2.07253
155.996	0.91279	1.36443	-1.90678	1.62675
159.990	0.21264	-0.28261	-4.79847	2.84036
163.995	0.92989	0.44153	-4.55021	1.69945
167.993	0.41234	0.52071	-4.64879	1.93823
171.991	1.30491	0.41293	-1.55276	1.71122
176.013	1.15831	1.14710	-1.52377	2.16803
