time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	NaN	NaN	NaN	NaN
4.040	NaN	NaN	NaN	NaN
8.018	NaN	NaN	NaN	NaN
12.040	NaN	NaN	NaN	NaN
16.002	NaN	NaN	NaN	NaN
20.042	NaN	NaN	NaN	NaN
24.040	NaN	NaN	NaN	NaN
28.042	NaN	NaN	NaN	NaN
31.999	NaN	NaN	NaN	NaN
36.040	NaN	NaN	NaN	NaN
39.997	NaN	NaN	NaN	NaN
44.040	-1.97064	11.23972	-0.38452	13.85921
48.001	-2.20290	9.21551	-0.92651	10.77208
52.029	-2.29939	7.44084	-1.01928	8.43775
56.042	-2.43469	6.55944	-1.11851	7.52775
60.042	-2.33033	5.35404	-1.01558	6.38073
64.043	-2.12149	4.43046	-1.01122	4.40556
68.043	-2.24963	3.05573	-1.07917	3.83336
72.042	-2.03003	3.04040	-0.99362	3.16088
76.042	-1.93023	2.86777	-0.95135	2.95828
80.044	-2.06971	2.37624	-0.95115	2.19809
84.045	-1.96796	1.00939	-0.84575	1.79477
88.043	-2.03152	0.84453	-0.82307	1.35498
92.005	-1.97099	0.78427	-0.70417	1.34779
95.938	-1.88898	0.89977	-0.68682	1.66604
99.997	-1.86746	0.86058	-0.64488	1.49678
104.040	-1.92099	0.80289	-0.61292	1.62031
108.044	-1.92684	0.70046	-0.60469	1.46299
111.938	-1.89154	0.60351	-0.55344	1.36814
116.041	-1.96144	0.68049	-0.45160	1.18266
120.042	-2.06176	0.73484	-0.47232	1.37971
124.044	-2.07861	0.64992	-0.43954	1.42139
128.045	-2.11651	0.54850	-0.44951	1.45983
132.044	-2.06701	0.53136	-0.46810	1.37482
136.042	-2.11995	0.48240	-0.47110	1.34983
140.043	-2.15393	0.45411	-0.53612	1.30318
144.047	-2.17958	0.53952	-0.56334	1.27225
147.998	-2.18446	0.48047	-0.63558	1.25657
152.043	-2.16800	0.46692	-0.59818	1.17223
156.043	-2.18339	0.45996	-0.65925	1.16151
160.046	-2.16141	0.41346	-0.71846	1.21810
164.043	-2.11274	0.38085	-0.72057	1.22401
168.003	-2.11167	0.40153	-0.75811	1.18610
172.043	-2.07792	0.39824	-0.74580	1.13693
176.048	-2.10818	0.37005	-0.71444	1.11371
180.052	-2.10887	0.36970	-0.56994	0.98778
184.041	-2.09182	0.40278	-0.61007	1.02190
188.046	-2.07363	0.38803	-0.56486	1.09268
192.045	-2.03737	0.38556	-0.55756	1.09502
196.043	-2.04527	0.37885	-0.57712	1.13788
200.044	-2.03236	0.39616	-0.54203	1.13104
204.044	-2.04711	0.42288	-0.46279	1.15117
207.938	-2.04659	0.46137	-0.44033	1.09715
212.043	-2.03784	0.47985	-0.38494	1.17915
216.017	-2.03087	0.57637	-0.44219	1.17581
220.046	-1.02322	0.52872	-0.38067	1.13377
224.049	-0.63305	0.34284	-0.14297	0.61067
228.042	-0.27818	0.02959	0.43038	0.13060
232.046	-0.35241	-0.09815	0.25974	0.16353
236.047	-0.30962	0.04316	0.83493	0.47950
240.048	-0.28019	0.17859	1.22479	0.42094
244.043	-0.26259	0.07907	1.16208	0.43951
248.044	-0.32129	0.01367	1.20544	0.19525
252.045	-0.29930	-0.09706	1.32277	0.34518
256.032	-0.30898	-0.16547	1.30122	0.40664
260.039	-0.27873	-0.19409	1.23498	0.34440
264.045	-0.29483	-0.25172	1.20112	0.36545
268.046	-0.28210	-0.25331	1.24079	0.43038
272.005	-0.32340	-0.23999	1.18473	0.56021
276.044	-0.31940	-0.22495	1.14600	0.54971
280.045	-0.31992	-0.25457	1.08227	0.57499
284.044	-0.33002	-0.29878	0.83714	0.53975
288.049	-0.32737	-0.33250	0.72541	0.51581
291.998	-0.31635	-0.33190	0.68513	0.54357
296.044	-0.31347	-0.34562	0.69330	0.53885
300.035	-0.28870	-0.34542	0.61704	0.49023
304.046	-0.29654	-0.33563	0.59466	0.43689
308.044	-0.30359	-0.29160	0.53014	0.45707
312.044	-0.30905	-0.29647	0.52446	0.44800
316.046	-0.29409	-0.21213	0.53572	0.41423
320.047	-0.30248	-0.21772	0.57915	0.41485
324.045	-0.33384	-0.20140	0.60263	0.40061
328.046	-0.33585	-0.15374	0.60610	0.38220
332.046	-0.34960	-0.10352	0.70523	0.41099
336.048	-0.34136	-0.15821	0.75950	0.45084
340.002	-0.37474	-0.11092	0.78307	0.44813
344.046	-0.41075	-0.08468	0.80553	0.48770
348.001	-0.42864	-0.02743	0.78898	0.50624
352.004	-0.43797	-0.00229	0.81868	0.62810
356.001	-0.47143	0.04632	0.77012	0.65501
360.045	-0.47592	0.19491	0.68002	0.76232
364.045	-0.45115	0.21538	0.65134	0.90688
368.005	-0.34531	0.26938	0.62565	1.02232
372.045	-0.37291	0.15165	0.65831	1.27941
376.046	-0.36680	0.16194	0.65533	1.41423
380.040	-0.32627	0.26248	0.68268	1.28184
384.005	-0.29865	0.35412	0.45448	1.48190
387.897	-0.29731	0.20803	0.52141	1.51936
391.938	-0.29190	0.12767	0.52773	1.63235
395.920	-0.29582	0.13543	0.28850	1.53147
399.907	-0.26061	0.10563	0.36164	1.55316
403.921	-0.21820	0.07229	0.36142	1.56654
407.920	-0.26403	0.04622	0.57354	1.62045
411.919	-0.18755	0.07485	0.63010	1.67632
415.929	-0.24798	0.23276	0.63268	1.69647
419.921	-0.27118	0.22538	0.55962	1.67202
423.922	-0.28950	0.03255	0.58416	1.70478
427.923	-0.34717	0.23927	0.70613	1.71435
431.943	-0.36566	0.38870	1.09780	1.67417
435.921	-0.36628	0.25887	0.82712	1.67743
439.923	-0.31913	0.43179	0.80367	1.66985
443.921	-0.34682	0.50702	0.53463	1.65422
447.944	-0.34007	0.67444	0.85813	1.65689
451.926	0.12530	0.74446	0.64136	1.64131
455.922	0.20685	0.96420	0.73285	1.58906
459.922	-0.78818	1.02614	0.45222	1.45724
463.949	-0.72729	1.24706	1.07555	1.43180
