time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	-0.50081	-3.08830	-1.17460	-2.27245
3.957	-0.51865	-3.06153	-1.19810	-2.23168
7.959	-0.49862	-3.06830	-1.18979	-2.16237
11.958	-0.48061	-3.03647	-1.13985	-2.26796
15.958	-0.47577	-3.02815	-0.96710	-2.24576
19.952	-0.49577	-3.12635	-1.07391	-2.30242
23.962	-0.46649	-3.16382	-1.02680	-2.36503
27.951	-0.60277	-3.10871	-0.99586	-2.35873
31.957	-0.55840	-3.09565	-0.94440	-2.30204
35.948	-0.53823	-3.05651	-0.95093	-2.39664
39.999	-0.54540	-3.10148	-0.93557	-2.58321
43.953	-0.62605	-3.06298	-0.94026	-2.62558
47.953	-0.65121	-3.04146	-0.94663	-2.62372
51.956	-0.50220	-2.45350	-0.97499	-2.65940
55.965	-0.48691	-2.77859	-1.02084	-2.63571
59.952	-0.32526	-3.04884	-1.07034	-2.59617
63.949	-0.42107	-2.92637	-1.07470	-2.47851
67.998	-0.26987	-2.61212	-1.07835	-2.45118
71.956	-0.30357	-2.69093	-1.05920	-2.33626
75.969	-0.23897	-2.63558	-1.06719	-2.31512
79.949	-0.25192	-2.63221	-1.00516	-2.39122
83.953	-0.18251	-2.59594	-1.05250	-2.27299
87.945	-0.22348	-2.33682	-0.98239	-2.23886
91.957	-0.27607	-1.38697	-0.99467	-2.13269
95.954	-0.20378	-1.52365	-1.01020	-1.27853
99.953	-0.07909	-0.29724	-1.01913	0.07615
103.953	-0.20380	0.25974	-1.01839	0.37218
107.952	-0.08927	0.24755	-0.95959	-0.04855
111.964	-0.16516	-1.45197	-0.94001	-1.14653
115.947	-0.19077	-1.94788	-0.97936	-1.12342
119.944	-0.27421	-2.01960	-0.93775	-1.00114
123.965	-0.41149	-1.88309	-0.98782	-0.75911
127.949	-0.56989	-1.55334	-0.91026	-0.61251
131.951	-0.24760	-1.36785	-0.95596	-0.45424
135.962	-0.11213	-1.34588	-0.96658	-0.71172
139.955	-0.17563	-1.36184	-0.94934	-0.73905
143.955	-0.26061	-1.26902	-0.86828	-0.62680
147.947	-0.32010	-1.24118	-0.90158	-0.75567
151.952	-0.34876	-1.31454	-0.91207	-0.77959
155.952	-0.48669	-1.31583	-0.92450	-0.70358
159.959	-0.15871	-1.16655	-0.88324	-0.64963
163.950	-0.11721	-1.14783	-0.90783	-0.56170
167.952	-0.09116	-1.10587	-0.89153	-0.63263
171.948	-0.12659	-1.07234	-0.93289	-0.73025
175.952	-0.11401	-1.02303	-0.93013	-0.80326
179.956	-0.15571	-1.02084	-0.96551	-0.72680
