time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	-6.16788	-0.39987	-7.11907	0.67398
4.001	-5.98336	0.81814	-7.25758	0.74897
7.990	-3.85666	-0.10220	-7.06212	0.79954
11.995	-6.00074	0.53569	-7.13654	0.84786
15.994	-7.10968	0.47875	-6.94971	0.77471
19.996	-6.21730	-0.53498	-6.96856	0.96993
23.989	-7.84077	0.37390	-6.79403	0.85097
27.997	-7.52298	0.85025	-6.77834	1.06726
31.993	-6.36638	1.04329	-6.62547	0.91816
35.996	-5.56517	1.15814	-6.47696	0.72912
39.999	-7.01286	2.88976	-6.51674	0.56204
43.994	-7.84299	3.35972	-6.98878	1.09048
47.998	-7.47753	1.62975	-7.82898	1.43931
51.990	-7.31953	1.41975	-6.92237	1.82657
55.997	-7.47270	1.35957	-6.44064	1.35851
59.994	-5.49020	1.33054	-5.99465	1.76439
63.994	-6.80237	1.34198	-4.30260	1.92503
68.022	-6.98614	0.68488	-4.84346	1.39386
72.000	-3.27556	0.77678	-0.83458	2.27725
76.001	-3.29520	0.92112	-1.05843	0.39207
79.995	-1.22789	1.11657	0.07661	2.32034
84.051	-1.10581	0.05744	0.35521	2.10634
88.004	-1.09911	0.60191	0.35365	1.78969
91.999	-1.08609	0.91970	0.44390	1.70544
95.993	1.21730	3.54863	0.49381	1.70818
100.011	-1.54418	2.79676	-0.56339	1.92043
103.993	-1.39083	1.74557	-0.13248	1.48991
107.990	-1.27075	0.72250	0.02382	1.44696
111.992	-2.84284	1.91781	-0.40713	2.00672
115.992	-1.47079	0.65098	-0.50190	2.03995
119.988	-1.00142	0.43255	-0.42763	2.04689
123.997	-1.18443	0.27152	0.18789	1.90693
127.996	0.79384	0.25560	-0.31339	1.92650
131.993	1.10986	0.07906	-0.43907	1.70735
135.993	-1.10291	1.65987	-0.16037	1.46394
139.990	-1.18324	1.74065	-0.54662	1.09445
143.996	-1.14657	0.96868	-0.32019	0.72073
147.992	-1.03101	1.10761	-0.18794	1.05832
151.993	-1.14747	1.94222	0.44998	1.09665
155.987	-0.90867	2.07431	-0.24249	1.57997
159.993	-0.27860	0.95808	0.47128	0.80714
163.993	-1.11509	0.74239	0.66836	0.79733
167.988	-1.41110	0.40854	0.02199	0.23303
171.995	-0.59816	-0.18832	0.10471	0.43927
175.995	-0.44386	-0.40460	-0.23775	0.82736
179.992	-0.58684	0.16949	0.11935	0.63149
183.988	-1.95882	0.17834	-0.10992	0.54912
187.995	-1.15238	0.58389	-0.08915	1.04536
191.991	-0.70121	0.75805	-0.16623	1.30092
195.989	-0.79002	0.64718	-0.29453	1.37052
199.994	-0.56731	0.60299	-0.10639	0.86078
203.996	-0.78851	1.08702	0.07004	1.23436
207.995	-1.04525	0.93488	0.23594	1.12502
212.005	-0.60585	0.46964	0.08632	1.50633
215.990	-0.41949	0.15632	0.19536	1.25900
219.992	-0.75461	0.69379	0.42544	1.11344
223.986	-0.50289	0.68933	0.86587	1.07232
227.994	-0.80615	0.15012	1.69669	1.32516
231.996	-0.63307	0.09191	2.42138	1.13812
235.988	-0.68531	0.09268	2.55928	1.39825
239.994	-0.74330	0.15385	2.90755	1.08934
243.989	-0.80012	-0.00373	3.36663	1.05226
247.992	-0.59846	0.01563	3.68273	1.01596
251.985	-0.68372	0.04368	0.99906	1.06964
255.996	-0.77722	-0.05151	3.74404	0.93240
259.991	-0.73171	-0.12093	1.82217	1.26805
263.992	-0.61828	-0.18198	0.37869	3.26146
267.986	-0.70846	-0.15798	0.10701	3.05803
271.995	-0.80521	-0.02723	0.13590	3.02924
275.997	-0.23574	2.14215	-0.47999	1.75667
279.992	1.52568	-0.14969	0.16648	1.51142
283.992	1.41643	-0.44654	0.55644	1.53241
287.985	3.72682	-1.13625	0.93879	1.37478
292.031	3.42989	0.54665	1.15987	1.04664
295.998	0.81342	-0.19601	1.01680	0.65276
299.999	0.01861	-0.38098	0.49485	0.33816
303.994	-1.64392	-1.43951	0.31076	0.32636
307.990	-1.79408	-0.71326	0.89297	-0.06617
311.993	2.69232	0.08797	0.84654	-0.22175
315.989	3.03269	-1.13675	0.68841	-0.37507
319.998	2.00596	-1.02749	0.55721	0.32988
323.992	1.25957	-0.36104	1.09118	0.72649
327.995	0.49944	0.74955	0.76953	0.82891
331.995	1.06225	0.08124	0.50947	0.85633
335.996	0.57099	-0.03484	0.36558	0.96125
339.999	0.42249	-0.05166	0.24130	0.72379
343.995	0.37611	0.00313	0.26627	1.03333
347.993	0.85307	0.29507	-0.04390	0.95573
351.988	1.19998	-0.12037	0.10302	1.88075
355.993	2.07517	-0.20152	0.38951	2.81033
359.992	0.11379	0.12022	0.35556	2.34165
363.988	1.24218	-0.02305	0.15556	2.34985
367.996	0.31513	0.46566	-0.09279	2.11951
371.993	-1.16902	0.19247	0.40633	1.16812
375.994	0.21460	0.40011	0.39132	1.25177
380.010	-0.31449	1.59071	-0.19142	1.26930
383.997	-0.56898	1.60277	0.23693	1.47404
387.994	-0.76124	1.29741	-0.31359	1.25166
391.988	-0.30136	0.31346	0.47666	1.35979
395.995	-0.65908	1.27278	0.66074	1.43469
399.992	1.24188	-0.25134	0.61325	0.94701
403.994	1.41199	-0.00586	0.58563	0.57484
407.994	-0.84027	1.44494	0.59057	0.31146
411.994	-0.57878	1.00234	0.71479	0.26238
415.998	-0.36405	-0.40582	0.57709	0.16521
419.997	0.36891	0.57719	0.50331	0.10657
423.993	0.08835	0.93169	0.59019	0.44685
427.987	0.00829	1.13024	0.51964	0.62558
431.996	-0.46899	0.90527	0.56496	1.03952
435.993	-0.87101	1.57414	0.56913	1.19906
439.994	-0.44090	1.21821	0.50061	1.09026
443.995	6.49308	1.22001	0.46507	1.42377
447.993	-0.37067	1.68386	0.31704	1.38510
451.993	1.54820	0.51092	0.23666	1.04580
455.992	2.26757	-1.37456	0.39132	0.34390
459.995	-0.00087	0.29682	0.74824	0.35322
463.998	-0.80260	0.01143	0.53562	0.61102
467.992	-0.40537	0.13990	0.61228	0.88692
471.988	2.14260	-0.08785	0.42199	1.25547
475.996	2.85608	-1.11165	0.36022	1.41226
479.995	2.14377	-0.56446	0.37747	1.30207
483.994	-0.24252	-0.57625	0.37631	1.45162
487.989	1.45492	-0.02201	0.17365	1.53602
491.996	1.13672	-0.05014	0.15891	1.71720
496.025	-0.00690	-0.66431	0.36809	1.78366
499.995	0.84741	-0.35627	0.60662	1.27053
503.994	0.88587	-0.33656	0.71796	1.64091
507.994	-0.33285	-0.44523	0.87153	1.52394
511.994	-2.18382	-0.15207	0.65111	1.34637
515.990	4.49978	3.32853	0.26989	0.91394
519.991	-0.16042	0.41480	0.62709	0.79671
523.862	-0.92187	0.49124	0.28416	1.47172
527.868	3.77468	-1.08365	0.12985	1.49227
531.864	3.31863	0.16276	-0.19432	1.46868
535.865	0.04241	-0.05683	2.68789	1.07034
539.869	0.98035	-0.33504	2.40783	1.17285
543.868	1.01628	-1.36777	0.82253	2.04163
547.864	0.16814	-1.26883	0.37787	1.67755
551.862	2.62023	0.35234	0.21914	1.69808
555.867	2.27394	-1.62158	0.11210	1.49771
559.864	2.18037	-0.71761	0.00707	1.57526
563.866	2.38120	-1.26692	0.10205	1.55473
