time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	-2.21184	0.52106	-1.25905	0.87029
4.008	-2.23026	0.53975	-1.24240	0.87645
8.010	-2.29250	0.56187	-1.20792	0.88973
11.982	-2.32635	0.58939	-1.17389	0.89423
16.011	-2.26274	0.61275	-1.19502	0.86912
20.008	-2.31252	0.63346	-1.19750	0.82920
24.012	-2.33911	0.63290	-1.18941	0.79776
28.011	-2.33214	0.64492	-1.17644	0.84135
32.009	-2.33975	0.60731	-1.13729	0.85855
36.008	-2.32972	0.59286	-1.17029	0.87143
40.012	-2.35187	0.52818	-1.16161	0.90882
44.010	-2.41078	0.51537	-1.15240	0.85900
48.005	-2.43085	0.47105	-1.17327	0.83957
52.011	-2.42597	0.45365	-1.15585	0.83565
56.012	-2.43976	0.42135	-1.15585	0.79715
60.009	-2.44043	0.38836	-1.13876	0.78327
64.009	-2.38514	0.35699	-1.13581	0.78650
68.008	-2.43600	0.32175	-1.11137	0.79773
72.012	-2.40947	0.32461	-1.07307	0.65866
75.995	-1.82209	0.24384	-0.97035	0.51076
80.006	-1.44029	0.08446	-0.41405	0.43017
84.010	-1.10673	-0.23997	0.22619	0.24908
87.966	-0.94515	-0.21417	-0.09858	0.36523
92.012	-0.96720	-0.04795	-0.26619	0.32522
96.008	-1.13337	-0.18762	-0.37345	0.16691
100.014	-1.06530	-0.16954	-0.18720	0.11900
104.010	-0.95765	-0.32128	-0.22939	0.23214
108.011	-0.73933	-0.43392	0.00035	0.22774
112.011	-0.80233	-0.46373	-0.03323	0.06046
116.010	-0.78640	-0.50145	-0.03906	0.10710
119.975	-0.80734	-0.48775	-0.01988	0.21763
124.013	-0.80081	-0.46529	-0.08512	0.06158
128.012	-0.85505	-0.45756	-0.13769	0.15518
132.012	-0.89036	-0.43035	-0.18904	0.19151
136.008	-0.95755	-0.45255	-0.17477	0.22193
140.012	-0.91262	-0.42613	-0.14077	0.30954
144.012	-0.89704	-0.43527	-0.17975	0.37917
148.012	-0.92148	-0.42732	-0.21217	0.39785
152.010	-0.91889	-0.40973	-0.22693	0.43415
156.016	-0.95926	-0.39477	-0.21380	0.49389
160.011	-0.99700	-0.34617	-0.24961	0.34117
164.025	-1.01332	-0.31740	-0.25957	0.27371
168.010	-0.97901	-0.27250	-0.12667	0.29148
172.010	-0.94403	-0.26157	-0.16025	0.38950
176.011	-0.92004	-0.24013	-0.08259	0.45215
180.010	-0.91763	-0.23653	-0.15888	0.40364
184.010	-0.86084	-0.28829	-0.00201	0.35631
187.966	-0.89676	-0.28898	-0.07626	0.32962
192.013	-0.97561	-0.21071	-0.04646	0.21922
196.012	-0.97519	-0.16723	0.04589	0.28981
200.012	-0.99003	-0.16301	0.03596	0.18657
203.999	-1.08123	-0.17776	0.12295	0.27321
207.967	-0.96524	-0.20189	0.12473	0.29692
212.013	-0.98968	-0.30880	-0.00955	0.19956
216.013	-0.97197	-0.28031	0.08234	0.23731
220.010	-0.93376	-0.18980	-0.09681	0.19569
223.908	-0.98975	-0.25630	0.05924	0.30706
228.013	-0.95507	-0.19300	-0.05455	0.22506
232.012	-0.97561	-0.20207	-0.17732	0.18483
236.013	-0.92115	-0.25964	0.00169	0.28000
239.910	-0.87560	-0.19840	-0.04988	0.27898
243.989	-0.87086	-0.24975	-0.19311	0.24908
248.010	-0.87230	-0.17922	-0.13250	0.17203
252.012	-0.90614	-0.27544	-0.00191	0.25522
256.011	-0.85912	-0.18431	0.09825	0.32577
260.013	-0.82600	-0.13487	0.31506	0.27659
264.011	-0.56836	-0.15493	0.94162	0.15459
268.011	-0.33394	-0.19710	0.85749	0.19117
272.014	-0.29230	-0.17864	0.88289	0.23663
276.014	-0.55761	-0.20676	0.51582	0.18298
280.012	-0.41306	-0.18025	1.04818	0.30539
284.011	-0.31630	-0.20846	0.69704	0.21498
287.909	-0.26761	-0.11470	0.93118	0.14903
291.968	-0.12833	-0.13622	0.96889	0.15486
296.013	-0.40070	-0.16842	0.86572	0.25892
300.011	-0.17881	-0.18699	0.86912	0.06087
304.014	-0.03564	-0.22118	0.87850	-0.13544
308.012	-0.23217	-0.24754	0.92733	0.24130
312.014	-0.08418	-0.16641	0.79503	0.32181
316.012	-0.23016	-0.13095	0.80667	0.16543
320.016	-0.17308	-0.17029	0.80764	0.30293
324.012	-0.20725	-0.07410	0.76285	0.04599
328.022	-0.18931	-0.14626	0.78196	0.15370
332.016	-0.19139	-0.11515	0.74374	0.32196
336.011	-0.29496	-0.14996	0.73397	0.24529
340.013	-0.12563	-0.13570	0.76652	0.28581
344.015	-0.03189	-0.06257	0.75685	0.52793
348.013	-0.22514	-0.09868	0.66856	0.32689
352.016	-0.21331	-0.06476	0.63397	0.42228
356.011	-0.20494	-0.05015	0.67044	0.41800
360.014	-0.23649	-0.08953	0.66876	0.35449
364.013	-0.21214	-0.11145	0.69699	0.42990
367.913	-0.17323	-0.02641	0.64962	0.45068
372.015	-0.01933	-0.02477	0.69977	0.39454
376.026	-0.11677	-0.02102	0.74489	0.36048
380.012	-0.11116	-0.09468	0.79575	0.45861
384.013	-0.01866	-0.09321	0.68496	0.46098
388.015	-0.06336	-0.03444	0.66975	0.36379
392.015	-0.02484	-0.05258	0.73977	0.39807
396.013	-0.02033	-0.08091	0.64146	0.41321
400.014	0.01266	-0.09604	1.03245	0.39550
404.014	-0.05577	-0.06647	0.82178	0.34000
407.970	0.01350	-0.06414	0.79503	0.34308
412.013	-0.02028	-0.14102	0.81620	0.38432
416.019	-0.01879	-0.04851	0.86290	0.31256
420.014	-0.10818	-0.06893	0.87108	0.46280
424.016	-0.17390	-0.10399	0.75436	0.29036
428.014	-0.11322	0.07440	0.86481	0.28998
432.015	-0.05040	-0.03342	0.82391	0.31016
436.014	-0.08383	-0.03071	0.85726	0.39490
440.016	-0.21490	-0.04846	0.90577	0.26441
444.016	-0.15911	0.08193	0.91545	0.19248
447.919	-0.10275	0.02955	0.90098	0.28165
451.986	-0.07326	0.00134	0.92019	0.29778
456.017	-0.18256	0.13659	0.88039	0.38571
460.016	-0.31203	-0.00132	0.93552	0.43094
464.015	-0.18392	-0.02984	0.92510	0.29775
468.016	-0.01635	-0.02574	0.99980	0.40378
472.017	-0.09984	0.00281	0.88949	0.38951
476.014	-0.09411	-0.05295	0.93760	0.40247
479.894	-0.23487	-0.07584	0.87634	0.46240
483.887	-0.36854	-0.04088	0.89790	0.52595
488.007	-0.33801	-0.02900	1.05066	0.44680
491.890	-0.25153	-0.04388	0.96470	0.48125
495.932	-0.12667	-0.02455	0.99085	0.52646
499.854	-0.12233	-0.03243	0.89999	0.47281
503.890	-0.06974	-0.01282	0.79173	0.41717
507.893	-0.05522	0.00823	0.65059	0.45915
511.911	-0.14285	0.02636	0.79813	0.26795
515.890	-0.19579	-0.03044	0.77558	0.42701
519.890	-0.20537	-0.06555	0.76754	0.34683
523.891	-0.12990	-0.04706	0.86041	0.25177
527.912	-0.04651	0.03350	0.74409	0.22327
531.889	-0.12148	-0.00609	0.77292	0.15514
535.890	-0.19132	-0.13699	0.72166	0.22139
539.865	-0.13292	-0.04716	0.65992	0.15890
544.018	-0.20157	0.05931	0.74243	0.16165
547.890	-0.24904	-0.05472	0.77054	0.20056
551.891	-0.40765	-0.23025	0.78449	0.06490
555.892	-0.17156	0.02440	0.75230	0.26715
559.911	-0.29394	0.06535	0.78962	0.21053
563.891	-0.39469	-0.05325	0.78039	0.15815
567.892	-0.22145	-0.02221	0.79816	0.14988
571.892	-0.21864	0.03655	0.80841	0.24625
575.912	-0.42182	0.01377	0.77049	0.28281
579.886	-0.24822	0.01660	0.80580	0.25353
583.881	-0.13106	0.05780	0.75295	0.31613
587.845	-0.09364	-0.05226	0.66074	0.30612
591.887	-0.25135	-0.00194	0.69565	0.33365
595.887	-0.22815	0.04952	0.64335	0.34319
599.888	-0.23425	0.02542	0.74610	0.38353
603.892	0.12228	0.02602	0.54726	0.39344
607.876	-0.24304	-0.02361	0.56443	0.41796
611.892	0.01707	0.09696	0.55927	0.42536
615.892	-0.16707	0.00547	0.76702	0.45278
619.891	-0.26585	0.06669	0.56605	0.42790
623.880	-0.30379	0.04557	0.61372	0.31141
627.890	-0.16988	0.04935	0.52381	0.41426
631.888	0.19690	0.07661	0.49575	0.30657
635.891	-0.04611	-0.04731	0.54352	0.33008
639.874	-0.10495	0.05934	0.76146	0.35272
643.892	-0.01087	0.02979	0.65032	0.35323
647.890	-0.13416	-0.00798	0.74786	0.36239
651.889	-0.23127	0.03444	0.56612	0.37950
655.884	-0.15861	-0.03963	1.00370	0.23891
659.896	-0.18608	0.03265	0.73116	0.37650
663.880	0.07674	0.08466	0.87309	0.33005
667.887	-0.04795	0.10076	0.59799	0.42770
671.850	-0.04063	0.07683	0.82640	0.25910
675.894	-0.12903	0.00532	0.81091	0.40825
679.893	-0.14439	0.04388	0.91753	0.36240
683.894	-0.20827	0.02055	0.72183	0.25819
687.876	-0.06877	0.02848	0.74171	0.36641
691.895	-0.18521	0.06940	0.71992	0.24512
695.904	-0.16454	-0.06535	0.83297	0.36107
699.891	-0.10634	-0.02202	0.75181	0.29352
703.917	-0.13687	-0.04165	0.74846	0.32149
707.893	-0.13044	-0.04187	0.76992	0.30509
711.892	-0.14595	0.01111	0.80538	0.29905
715.892	-0.15675	-0.10936	0.91118	0.43527
719.904	-0.17236	-0.05449	0.76727	0.33275
723.849	-0.19189	-0.09259	0.70642	0.45330
727.892	-0.17146	-0.00201	0.66898	0.48327
731.892	-0.19008	-0.01342	0.67972	0.46573
735.914	-0.15037	-0.11383	0.74556	0.39079
739.893	-0.11535	-0.06394	0.72727	0.46776
743.894	-0.15198	-0.00258	0.83156	0.47175
747.892	-0.08634	0.07773	0.67064	0.45423
751.913	-0.00213	0.09316	1.05292	0.43120
755.891	0.09954	0.07688	0.69350	0.51838
759.898	0.14938	0.01727	0.77330	0.48368
763.894	0.23946	-0.00606	0.76501	0.47663
767.914	0.03403	0.02368	1.16066	0.43429
771.893	0.17261	-0.00470	0.87736	0.38598
775.895	0.08378	-0.08223	0.78982	0.26131
779.890	0.00328	-0.25589	0.61573	0.28644
783.926	0.05775	-0.25348	0.85076	0.23045
787.851	0.15097	-0.12000	0.75305	0.32311
791.896	0.12250	-0.41825	0.74181	0.15343
795.892	0.18313	-0.34266	0.94247	0.07990
799.915	0.09384	-0.47893	0.80950	0.19778
803.893	0.02189	-0.40625	0.71605	0.05924
807.893	-0.01789	-0.52122	0.64977	0.19336
811.896	0.03827	-0.43940	0.65697	0.06935
815.917	0.00541	-0.52214	0.79761	0.04716
819.890	-0.00859	-0.56383	0.49195	0.00385
823.892	0.05465	-0.48323	0.92889	0.13904
827.896	0.00144	-0.49391	0.63429	0.16859
831.916	0.10731	-0.50112	0.87766	-0.04544
835.893	-0.03380	-0.57889	0.67665	0.04634
839.893	0.02405	-0.56147	0.85118	0.08319
843.895	-0.03685	-0.45453	0.88679	-0.07471
847.892	-0.03249	-0.43262	0.71166	-0.00514
851.895	0.07200	-0.44824	0.54726	-0.04406
855.894	0.06865	-0.53300	0.65221	-0.10901
859.896	0.02993	-0.52651	0.84374	-0.04520
863.923	0.16476	-0.51891	0.91587	-0.06226
867.896	0.08029	-0.43977	0.79416	-0.12960
871.873	0.16591	-0.53732	0.90441	-0.09446
875.896	0.18298	-0.63442	0.91825	-0.15852
879.916	0.18382	-0.37770	0.71915	-0.13646
883.892	0.18725	-0.61005	0.88098	-0.10835
887.895	0.11773	-0.67370	0.97661	-0.13653
891.852	0.14382	-0.60714	1.10053	-0.11322
895.919	0.04599	-0.53603	0.89746	-0.01603
899.895	0.03162	-0.55245	0.98851	-0.01809
903.907	-0.06197	-0.64704	1.04163	-0.18775
907.850	-0.13555	-0.64702	0.65489	0.00246
911.896	0.04901	-0.64441	0.45634	-0.11040
915.895	0.09178	-0.63738	0.40524	0.00117
919.894	0.00680	-0.76255	0.57334	-0.13927
923.895	-0.04189	-0.70007	0.86935	-0.39244
927.917	0.01658	-0.73612	0.37166	-0.15235
931.896	0.13727	-0.71783	0.31774	-0.05780
935.894	0.01228	-0.83440	0.26786	-0.03712
939.898	-0.07445	-0.81025	0.56171	-0.14111
943.897	0.10667	-0.91074	0.34193	-0.07524
947.897	-0.02926	-0.75107	0.29836	0.10983
951.895	0.15528	-0.80451	0.41973	-0.04284
955.897	0.05926	-0.85480	0.63235	0.05968
959.898	-0.03638	-0.81800	0.41413	-0.01180
963.895	-0.06850	-0.80262	0.55414	-0.12414
967.894	-0.01343	-0.88535	0.67374	0.04396
971.895	-0.14774	-0.71639	0.67948	0.10401
975.897	-0.11927	-0.75378	0.68995	-0.01913
979.895	-0.16000	-0.80011	0.55840	-0.00283
983.896	-0.03363	-0.75532	0.38444	0.08533
987.895	-0.25567	-0.71437	0.66461	-0.03953
991.854	-0.03675	-0.75945	0.65131	0.00537
995.884	0.02713	-0.72208	0.84099	-0.00499
999.883	-0.10860	-0.87604	0.54438	0.01687
1003.895	-0.09964	-0.82555	0.68642	-0.05511
1007.868	-0.13796	-0.70230	0.52533	-0.01695
1011.895	-0.11362	-0.77030	0.68955	-0.08438
1015.893	-0.08093	-0.71447	0.54342	-0.07472
1019.896	-0.04490	-0.98639	0.71208	-0.07027
1023.884	-0.03306	-0.83877	0.77171	0.01113
1027.897	-0.14216	-0.64856	0.82965	-0.03916
1031.895	-0.00290	-0.85236	0.82287	-0.03312
1035.897	-0.00809	-0.98060	0.61302	-0.05862
1039.852	0.11639	-0.77038	0.58880	-0.03233
1043.851	-0.04460	-0.86657	0.51585	0.12223
1047.894	0.04266	-0.88021	0.75600	0.02621
1051.897	0.25368	-0.86637	0.86838	0.05426
1055.895	0.05038	-0.74213	0.68677	0.04465
1059.898	0.17633	-0.76424	0.55766	0.11395
1063.897	0.05472	-0.85736	0.63563	0.21026
1067.896	0.01263	-0.68983	0.56210	0.08433
1071.895	0.07962	-0.67256	0.42636	0.08714
1075.900	0.10644	-0.71306	0.61779	0.17547
1079.876	0.02588	-0.62327	0.39139	0.27512
1083.891	0.02400	-0.72590	0.72910	0.16312
1087.896	0.02646	-0.63350	0.75044	0.22817
1091.900	0.00958	-0.74449	0.38886	0.28456
1095.897	-0.03589	-0.69194	0.64759	0.19232
1099.895	0.00119	-0.60595	0.50034	0.26190
1103.895	-0.08527	-0.61295	0.44827	0.29890
1107.888	0.17891	-0.57993	0.62114	0.19505
1111.898	0.02991	-0.59333	0.65853	0.24022
1115.895	-0.02948	-0.73542	0.37090	0.26816
1119.908	-0.00419	-0.72759	0.23415	0.21417
1123.897	0.09230	-0.63142	0.42770	0.20306
