time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	-6.40028	1.29031	-5.61770	2.38779
3.999	-4.73098	-1.98096	-4.96583	0.13254
8.016	-4.81808	-4.17097	-4.39222	-2.16003
11.997	-4.66995	-5.67743	-4.66805	-4.55865
16.005	-4.53048	-6.72322	-4.11950	-5.20426
20.003	-4.59921	-7.29655	-4.20716	-5.62376
24.054	-4.62197	-10.10993	-4.12559	-6.46732
28.011	-4.65893	-10.39976	-4.20928	-7.11451
32.000	-4.67138	-10.28638	-4.52641	-7.84907
36.012	-1.65163	-10.33028	-3.93942	-6.88968
39.993	-3.61357	-10.09181	-4.12631	-6.26660
43.990	-4.42052	-9.77627	-4.02515	-6.38215
47.999	-2.59998	-9.56628	-4.07199	-6.59404
51.994	-4.06597	-9.89572	-4.10113	-6.77412
56.018	-3.41244	-9.89758	-3.99215	-6.80645
59.993	-2.67189	-9.31078	-3.94219	-6.69831
63.999	-2.87846	-9.47705	-3.93398	-6.80028
67.988	-2.89111	-9.59080	-3.88579	-6.71148
71.998	-3.17416	-9.43627	-3.96535	-6.73143
76.016	-3.09371	-9.27322	-3.82487	-6.69547
79.997	-3.09993	-9.48843	-3.77728	-6.70489
83.993	-2.97802	-9.43448	-3.77762	-6.75927
88.000	-2.99010	-9.29583	-3.56628	-6.78626
92.048	-3.05860	-9.31391	-3.43894	-6.80572
96.012	-3.08317	-9.34257	-3.66634	-6.84479
99.993	-3.00962	-9.21855	-3.65277	-6.84570
104.003	-2.91148	-9.10945	-3.84009	-6.88164
108.010	-3.01695	-9.24579	-3.84513	-6.84572
111.988	-3.11608	-9.15536	-3.98346	-6.89032
115.996	-3.10475	-9.35241	-4.03374	-6.90226
119.992	-3.07741	-9.32481	-4.12915	-6.93274
123.991	-2.88017	-9.17204	-4.15349	-6.94996
127.992	-2.87103	-9.12535	-4.34438	-6.93837
132.000	-3.10921	-9.25987	-4.20037	-6.91673
135.996	-3.13538	-9.30505	-4.21000	-6.89857
139.999	-3.21231	-9.25761	-4.25011	-6.84533
143.995	-3.29560	-9.38598	-4.26134	-6.78232
148.015	-3.25731	-9.36501	-4.13159	-6.71508
152.001	-3.19256	-9.34252	-4.15087	-6.74473
155.997	-3.09503	-9.33519	-4.16566	-6.66680
160.017	-3.18561	-9.33681	-4.10715	-6.61178
164.059	-3.92845	-9.30661	-4.16290	-6.71344
168.008	-3.22512	-9.23620	-3.94542	-6.62147
171.996	-0.54195	-9.15410	-3.68359	-6.20572
175.990	1.80040	-4.81272	0.09741	-3.37411
179.993	3.75383	-3.51528	1.32329	-1.93715
184.000	4.35667	-2.92495	2.29641	-0.29204
187.991	4.50912	-2.49020	4.32414	0.03910
191.990	4.93162	-2.51507	4.34189	-0.21874
195.985	4.50222	-2.48906	4.05149	-0.57013
199.996	3.93058	-3.27843	2.24081	-1.00366
203.991	2.83561	-3.81858	1.79244	-1.26350
207.992	2.67088	-3.45201	1.91710	-1.19733
211.986	3.69138	-3.05920	2.54033	-1.18784
216.002	4.04683	-2.93036	3.54257	-1.07225
219.990	4.54375	-2.91067	3.79643	-0.97357
223.990	4.65804	-2.71796	3.91343	-0.59673
228.055	4.63070	-2.74290	3.68377	-0.52565
232.025	4.55660	-2.90027	3.58479	-0.61230
235.990	4.58308	-3.08039	3.38607	-0.69532
