time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	-0.94170	-2.64522	-1.57855	-1.57280
4.001	-0.96442	-2.60994	-1.58914	-1.56443
7.995	-1.02826	-2.61874	-1.67177	-1.51346
12.014	-0.99333	-2.65975	-1.64694	-1.49141
16.006	-0.94887	-2.70518	-1.64464	-1.49422
19.998	-0.94247	-2.71885	-1.55050	-1.51752
24.003	-0.98916	-2.82284	-1.53133	-1.53096
27.997	-0.97909	-2.86397	-1.55323	-1.51260
32.018	-1.06599	-2.89390	-1.55311	-1.53777
36.022	-1.07247	-2.99420	-1.51970	-1.59429
40.003	-1.09998	-3.00091	-1.50420	-1.60076
44.007	-1.09222	-3.10098	-1.50589	-1.61950
48.000	-1.09795	-3.11532	-1.50673	-1.67077
52.000	-1.13414	-3.18503	-1.49307	-1.74623
55.997	-1.19381	-3.32364	-1.48178	-1.82268
60.008	-1.23062	-3.34548	-1.46831	-1.81624
63.999	-1.27693	-3.48596	-1.52327	-1.81490
68.003	-1.33500	-3.59947	-1.49195	-1.80527
71.998	-1.37206	-3.62990	-1.47022	-1.79646
76.013	-1.43550	-3.76499	-1.49101	-1.74852
80.011	-1.43049	-3.72199	-1.50879	-1.60651
84.002	-1.46566	-3.76682	-1.52992	-1.56569
87.994	-1.49163	-3.79626	-1.53458	-1.51984
92.020	-1.54051	-3.80676	-1.56957	-1.47518
96.000	-1.58443	-3.68469	-1.58520	-1.41974
100.003	-1.58981	-3.60921	-1.57019	-1.42574
104.000	-1.61347	-3.50512	-1.57716	-1.38713
108.002	-1.57458	-3.48699	-1.60005	-1.36822
112.001	-1.56226	-3.41328	-1.61667	-1.35639
115.995	-1.57297	-3.36176	-1.65768	-1.39363
120.005	-1.54341	-3.27706	-1.64032	-1.43783
123.997	-1.55745	-3.25307	-1.64531	-1.52423
128.018	-1.55152	-3.27081	-1.65922	-1.56008
132.001	-1.55762	-3.21823	-1.66336	-1.56842
136.007	-1.57292	-3.19345	-1.64761	-1.56873
140.005	-1.52771	-3.24329	-1.59633	-1.57435
143.993	-1.58800	-3.29925	-1.59122	-1.58942
148.001	-1.61508	-3.31445	-1.61104	-1.63788
151.998	-1.63038	-3.32364	-1.59259	-1.71573
156.003	-1.63854	-3.29605	-1.56918	-1.74905
159.994	-1.62825	-3.29225	-1.53949	-1.83543
164.006	-1.61409	-3.27153	-1.56017	-1.94377
168.043	-1.65639	-3.21156	-1.59779	-2.07910
172.050	-1.50291	-2.99813	-1.54410	-1.91960
175.995	-1.28338	-2.54396	-1.41769	-1.55584
179.994	0.24262	-1.54662	-1.16721	-0.91443
183.998	0.43470	-0.49661	-0.62409	0.30659
187.997	0.60305	-0.29708	-0.52374	0.83091
191.998	-0.10835	-0.32132	-0.66655	0.78866
196.001	-0.35246	-0.34532	-0.48582	0.34052
199.997	-0.74052	-0.94823	-0.46602	0.36151
204.014	-0.51835	-0.91418	-0.48689	0.41252
207.996	-0.46852	-1.22590	-0.48696	0.32968
211.993	-0.50825	-0.81427	-0.45204	0.18539
216.008	-0.46614	-0.56305	-0.28781	0.03427
219.998	-0.41286	-0.67967	-0.28818	0.16296
224.047	-0.54863	-0.69350	-0.23475	0.21884
227.997	-0.56962	-0.71797	-0.27778	0.14174
231.994	-0.61885	-0.87872	-0.29915	0.13309
236.014	-0.65412	-0.95175	-0.31746	0.06187
240.001	-0.59434	-0.97094	-0.31141	0.06510
244.003	-0.56540	-0.94225	-0.25364	0.08061
247.871	-0.44931	-0.88140	-0.23693	0.05156
251.874	-0.44688	-0.90997	-0.23199	0.06846
255.882	-0.36045	-0.96749	-0.23934	0.09559
259.891	-0.34387	-1.04865	-0.31166	0.16987
263.868	-0.40060	-1.00862	-0.35886	0.24267
267.873	-0.29714	-1.08316	-0.38641	0.32849
271.870	-0.28374	-1.05516	-0.44554	0.35257
275.872	-0.24470	-1.06289	-0.49031	0.34360
279.871	-0.23716	-1.07884	-0.16501	0.38950
283.871	-0.24465	-1.07479	-0.13784	0.41984
287.871	-0.27314	-1.16923	0.00139	0.43808
291.892	-0.29486	-1.14692	0.02886	0.44099
295.875	-0.28803	-1.20432	-0.06609	0.43508
299.872	-0.33439	-1.26802	-0.03685	0.42700
303.897	-0.34159	-1.23345	0.03097	0.39418
307.870	-0.35839	-1.27882	0.03795	0.32753
311.875	-0.41137	-1.32203	0.10704	0.27232
315.868	-0.41750	-1.26886	0.15039	0.23542
319.872	-0.44716	-1.33044	0.16119	0.18758
323.874	-0.50116	-1.36222	0.18278	0.14850
327.871	-0.50915	-1.37123	0.15988	0.09383
331.899	-0.51937	-1.35735	0.13655	0.03146
335.871	-0.58230	-1.38232	0.15953	-0.00313
339.873	-0.61260	-1.35132	0.16918	-0.04199
343.869	-0.67461	-1.35046	0.19199	-0.08854
347.868	-0.65126	-1.34825	0.16174	-0.14084
351.873	-0.66627	-1.37775	0.18169	-0.17056
355.878	-0.60595	-1.38914	0.19529	-0.21387
359.870	-0.57540	-1.40889	0.21777	-0.29488
363.885	-0.57367	-1.40748	0.25465	-0.30835
367.871	-0.49634	-1.38405	0.25736	-0.34383
371.886	-0.45780	-1.36104	0.24947	-0.37238
