time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	-1.78399	2.66258	-0.50999	-1.71021
3.991	-2.19219	2.54836	0.95224	-2.11579
7.997	-2.25687	2.34016	1.04195	4.05760
12.000	-1.73685	2.26973	1.05878	3.26815
15.998	-1.72193	2.06847	1.01772	4.09635
20.002	-1.62435	1.80372	0.18670	3.76546
23.998	-2.72568	2.16133	0.97152	3.48241
28.003	-0.92177	1.71572	0.74948	3.69128
32.002	-1.46370	1.92575	0.38958	3.35987
36.002	-1.30233	1.77914	0.32208	3.34566
39.999	-1.64541	2.51035	0.66034	3.12683
44.000	-1.43210	1.72613	0.64828	2.78441
47.998	-1.70884	1.68359	0.82548	2.39756
52.003	-1.80948	1.55753	0.58597	2.54756
56.009	-1.87384	1.68130	0.51006	2.26941
59.997	-2.03053	2.57611	0.10726	2.79215
63.998	-2.45411	1.65419	0.46525	2.52479
68.000	-2.73954	1.55759	-0.07646	1.89547
72.003	-1.28001	1.33579	-0.20224	0.81159
75.984	-1.44666	1.98511	0.32995	-1.13228
79.996	-1.47384	1.99931	0.49039	-0.97873
84.005	-2.38591	1.69077	0.33992	-1.42500
87.994	-2.28767	1.91348	0.23006	-1.46016
92.001	-2.10503	1.75324	0.54649	0.30401
95.999	-2.79582	1.93301	0.49810	0.27330
100.001	-1.59638	1.92163	0.81265	0.61026
104.000	-1.16168	1.84468	0.79404	0.85981
107.998	-1.27056	1.97350	0.55138	1.43288
112.001	-1.54133	2.13861	-0.09585	1.61112
116.000	-1.54100	2.27290	0.40822	1.95184
120.001	-1.81882	2.45915	-0.04626	2.16482
123.998	-1.20991	3.14036	-0.53203	2.74867
127.998	-1.60362	3.74370	-0.23879	2.80150
131.900	-1.80985	3.37330	-0.40988	2.82557
136.001	-1.86489	3.64069	-0.33913	2.79656
140.001	-1.95966	3.70010	-0.20847	2.92226
144.002	-2.12419	3.80016	-0.26969	2.93526
147.897	-2.27513	3.56494	-0.22184	2.94338
152.002	-1.67648	3.83952	-0.39159	2.81207
156.001	-1.87359	3.92579	-0.54044	2.76709
159.980	-1.97433	3.83661	-0.48530	2.78018
163.888	-1.62926	3.89917	-0.30265	2.65793
168.001	-1.95051	3.86648	-0.38467	2.22229
171.998	-1.89649	3.73939	-0.21261	1.97538
175.999	-1.93199	3.82204	-0.37767	1.96567
179.872	-1.89258	3.72997	-0.52647	1.54426
183.999	-1.89015	3.73487	-0.42621	1.63444
