time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	0.99501	2.01659	-0.31496	0.43619
3.997	0.71149	1.97442	-0.24433	0.97858
7.956	0.23078	1.97166	-0.42884	0.98350
11.994	-0.42748	2.06404	-0.67357	1.39247
15.992	-0.45530	2.08607	-0.53570	2.73241
19.999	0.04594	2.07402	-0.55568	3.13869
23.997	-0.47584	2.09038	-0.51942	1.58106
27.897	-0.46351	2.01851	-0.60352	1.35057
31.996	-0.36752	1.93962	-0.67347	1.58476
36.008	-0.52096	2.01192	-0.50751	1.60542
39.997	-0.53768	2.08825	-0.54798	1.64734
43.897	-0.68240	2.06827	-0.37884	1.66389
47.997	-0.88818	2.26762	-0.44611	1.68846
51.996	-1.03233	2.23101	-0.50786	1.52599
55.969	-0.98673	2.17284	-0.44256	1.30275
59.886	-2.54913	2.10740	-0.28448	1.37659
63.995	-1.29955	2.14948	-0.35365	1.22602
67.995	-2.29926	2.10640	-0.24296	-0.28733
71.995	-2.76307	2.11864	-0.14441	1.07631
75.960	-2.04750	2.14769	-0.21068	-0.25413
79.999	-1.88447	2.20683	-0.02313	0.90565
83.996	-2.06295	2.10961	0.10796	0.39229
87.996	-2.38705	2.08775	0.06879	0.96068
92.002	-1.91945	2.00420	0.01000	1.03396
95.980	-1.98355	1.95675	-0.06386	1.14996
99.993	-1.63576	1.90785	-0.05681	1.56399
103.998	-1.60920	1.85190	-0.12858	1.76755
107.900	-1.94826	1.74148	-0.10250	1.92258
111.997	-1.82200	1.55350	-0.31818	1.99152
115.999	-1.70373	1.67826	-0.33250	2.14588
119.999	-1.74097	1.56099	-0.36817	2.14565
123.902	-1.60206	1.30844	-0.47460	2.18011
127.999	-1.44857	1.38423	-0.43502	2.22763
131.982	-1.51859	1.18887	-0.32287	2.35796
136.002	-1.50601	1.20613	-0.43581	2.43631
140.003	-1.52087	1.05128	-0.62230	1.99965
144.000	-1.43451	1.08767	-0.51232	1.00354
147.998	-1.40455	1.02163	-0.72930	1.64453
151.995	-1.37977	1.03883	-0.60610	0.10250
155.902	-1.35157	1.06318	-0.41561	-1.47714
159.999	-1.31816	1.10806	-0.49379	-1.26907
163.997	-1.19795	1.08189	-0.42341	-1.51905
167.997	-1.21804	1.10163	-0.14953	-1.64692
171.867	-1.15922	1.21405	-0.15677	-1.76522
175.999	-1.13796	1.39533	-0.30659	-1.78491
179.976	-1.02350	1.34326	-0.20993	-1.04446
183.998	-1.03543	1.42837	-0.23060	-1.15910
187.899	-0.97735	1.38638	-0.18936	-1.55954
191.957	-0.82478	1.44286	-0.28287	-1.11160
195.997	-0.45361	1.62383	-0.32642	-1.32169
199.997	-0.73791	1.66883	-0.23135	-1.15135
203.902	-0.67583	1.77980	-0.32660	-1.16040
208.003	-0.62883	1.88836	0.11334	-0.91420
212.001	-0.63171	1.80811	-0.08527	-0.66888
215.874	0.00184	1.90880	-0.09820	-0.76575
219.878	-0.53371	1.89144	-0.03631	-0.56237
223.877	-0.49133	2.10243	-0.12032	-0.68044
227.843	-0.35566	2.20423	-0.09984	-0.72650
231.874	-0.34921	2.13647	0.15231	-0.52510
235.871	-0.51617	2.33773	0.00330	-0.44400
239.890	-0.47063	2.33323	0.05584	-0.41008
243.875	0.09344	2.20043	-0.03251	-0.34783
247.872	-0.10503	2.04692	0.04852	-0.27237
251.877	-0.24510	1.24002	-0.03470	-0.18612
255.837	-0.43614	0.56518	-0.01315	-0.24143
259.875	-0.25989	0.27644	-0.16469	-0.15854
263.876	-0.30704	0.22108	-0.01444	0.25271
267.889	-0.27282	0.16052	-0.30406	0.03248
271.870	-0.30235	0.23537	-0.10716	0.06871
275.876	-0.38144	0.29112	-0.21559	0.30241
279.876	-0.25989	0.17533	-0.01655	0.43396
283.877	-0.31049	0.31841	-0.36209	0.33955
287.873	-0.45403	0.38870	-0.29004	0.48680
291.873	-0.41651	0.30203	-0.41097	0.78313
295.875	-0.50999	0.34700	-0.30516	0.51560
299.877	-0.81712	0.54728	0.08840	0.75033
303.877	-2.88019	3.59578	-0.52907	3.71286
307.875	-2.27285	3.66305	-3.05843	1.10931
311.872	-3.50504	2.98856	6.13385	1.74436
315.876	-0.51967	9.06377	-0.47254	6.45836
319.834	-4.07285	14.19019	0.33786	6.92200
323.868	NaN	NaN	NaN	NaN
327.875	NaN	NaN	NaN	NaN
331.879	NaN	NaN	NaN	NaN
336.008	NaN	NaN	NaN	NaN
339.838	NaN	NaN	NaN	NaN
343.881	NaN	NaN	NaN	NaN
347.852	NaN	NaN	NaN	NaN
351.854	NaN	NaN	NaN	NaN
355.851	NaN	NaN	NaN	NaN
359.872	NaN	NaN	NaN	NaN
363.891	NaN	NaN	NaN	NaN
367.871	NaN	NaN	NaN	NaN
371.833	NaN	NaN	NaN	NaN
375.872	NaN	NaN	NaN	NaN
379.881	NaN	NaN	NaN	NaN
383.876	NaN	NaN	NaN	NaN
387.876	NaN	NaN	NaN	NaN
391.874	NaN	NaN	NaN	NaN
395.870	NaN	NaN	NaN	NaN
399.875	NaN	NaN	NaN	NaN
403.878	NaN	NaN	-1.68781	13.06255
407.880	NaN	NaN	-0.67702	10.39847
411.878	NaN	NaN	-0.43321	8.35515
415.877	17.65789	12.38207	-1.00367	9.69499
419.877	7.59919	-0.29956	-0.34777	7.83487
423.877	NaN	NaN	2.82632	7.03972
427.877	-5.84436	-0.79383	0.72136	6.85658
431.876	-3.03786	-4.47434	-1.40418	5.35981
435.846	-5.52357	-2.01159	1.53369	5.17053
439.843	-3.26248	-1.44511	-0.86855	5.12875
443.876	-3.54905	-1.22535	-0.21221	3.81518
447.877	-5.84868	-1.63635	0.27066	3.91391
451.876	-5.27867	-1.14895	-1.65436	3.35721
455.907	-5.17538	-0.81917	0.12863	3.07550
459.877	-4.14895	0.69660	0.06333	3.16881
463.877	-4.38948	0.70661	0.24185	2.99626
467.879	-3.54727	1.17496	0.27364	3.00723
471.840	0.16826	1.94814	0.50190	2.66469
475.864	-3.66790	1.64184	0.73838	2.68339
479.878	-3.19704	2.02414	0.60518	2.58495
483.883	-2.91797	1.52809	0.45557	2.46418
487.906	-2.05172	1.88421	0.61682	2.36039
491.878	-2.69403	2.05738	0.71836	2.48413
495.876	-2.24098	2.08109	0.77719	2.47795
499.878	-2.60842	2.25176	0.75077	4.19573
503.843	-1.60846	2.37252	0.82419	4.28051
507.878	-2.07023	2.68444	0.83481	4.43418
511.880	-2.16498	2.84396	0.82972	3.22181
515.878	-2.09083	2.87677	0.92036	3.01659
519.879	-2.15205	2.96845	0.97107	2.79676
523.877	-1.16183	3.16194	0.97829	2.74698
527.877	-2.12471	3.31201	0.97214	3.07281
531.878	-1.49406	3.37094	0.69491	1.93209
535.871	-1.37369	3.22536	0.34925	0.81255
539.879	-1.34304	3.41918	0.55806	0.66997
543.881	-1.24029	3.39885	0.52319	0.90293
547.878	-1.03699	3.29997	0.50840	-0.40345
551.874	-1.05902	2.84065	0.18869	0.57765
555.881	-0.95591	2.29293	0.40688	0.36661
559.860	-1.03910	2.00415	0.84046	-0.90739
563.857	-0.99164	1.86953	0.76158	-1.09917
567.843	-1.06823	2.10406	0.78047	-0.70661
571.878	-0.99343	2.53293	0.68662	-0.90027
575.879	-1.05910	1.90436	0.58322	-0.97836
579.881	-1.10953	1.96530	0.86208	-1.06087
583.874	-1.12898	1.89153	0.82483	-1.17659
587.879	-1.16171	1.93742	0.94398	-1.11201
591.891	-1.23751	1.93042	0.87714	-1.24733
595.880	-1.27599	1.89947	0.93735	-1.16148
599.841	-1.28866	1.97668	0.98256	-1.10569
603.873	-1.29134	2.00234	0.96574	-1.14513
607.878	-1.11199	1.93435	0.72424	-1.03527
611.880	-0.84826	1.97419	0.68255	-1.10850
615.880	-0.63394	1.78758	0.82327	-0.99585
619.880	-0.95222	1.52338	0.74665	-0.91623
623.879	-0.82563	1.47909	0.67826	-0.83298
627.879	-0.10436	1.08014	0.64258	-0.77592
631.874	-0.37988	1.18695	0.66863	-0.61947
635.880	-0.32843	1.26271	0.77464	-0.63697
639.880	-0.46001	1.20549	0.75295	-0.64050
643.853	-0.25592	0.95893	0.56270	-0.59129
647.881	-0.14982	0.91708	0.47579	-0.67023
651.879	-0.09721	0.97508	0.50302	-0.61924
655.882	0.08299	1.09606	0.49612	-0.59291
659.880	0.14546	1.37387	0.46284	-0.64533
663.876	-0.06304	1.84943	0.61173	-0.77625
667.881	0.09863	1.64975	0.69074	-0.90926
671.841	0.08269	1.73995	0.28647	-0.67389
675.879	0.10180	1.83647	0.35973	0.22625
679.877	0.08130	2.21102	0.31081	1.34079
683.867	0.02536	2.34038	0.26939	1.75140
687.885	0.00007	2.33688	0.33312	1.57169
691.840	0.03182	2.18179	0.26289	1.72749
695.876	-0.10046	2.27342	0.29456	1.25308
699.883	-0.11674	2.24600	0.37194	0.13741
703.879	-0.36643	2.55912	0.13037	-0.54883
707.879	-0.21482	2.28869	0.18777	0.07743
711.878	-0.40527	2.25999	0.33700	-0.28208
715.879	-0.50699	2.13928	0.33436	-0.28119
719.885	-0.50689	2.02438	0.45475	-0.27842
723.886	-0.62024	2.26203	0.39435	-0.23052
727.885	-0.58662	2.08101	0.48120	0.79062
731.881	-0.59414	1.71972	0.45197	0.71147
735.881	-0.52674	1.57110	0.42028	0.97195
739.880	-0.15945	1.55788	0.51004	1.12913
743.885	-0.40906	1.67824	0.40231	1.60822
747.883	0.02655	1.62125	0.54833	1.62904
751.881	0.02646	1.63341	0.55245	2.39993
755.861	-0.12270	1.57332	0.50793	2.39156
759.889	0.09155	1.74941	0.49455	2.52637
763.882	-0.09488	1.83557	0.49887	2.48912
