time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	-1.31511	-0.38910	-0.59094	-2.59554
3.999	-1.38361	-0.56223	-0.51503	-2.73038
8.021	-1.41373	-0.85913	-0.48277	-2.52652
11.998	-1.37955	-0.55075	-0.41708	-2.40283
15.999	-1.08187	-0.53976	-0.26942	-2.68422
20.001	-0.87257	-0.51994	0.14327	-2.82144
24.017	-0.88642	-0.39336	-0.01018	-2.33292
27.994	-1.29970	-0.07669	0.19100	-2.28956
31.961	-1.80784	-0.24822	0.10997	-2.50612
36.001	-1.76971	-0.12672	-0.20757	-2.54594
40.023	-1.82038	-0.18046	-0.33652	-2.35709
43.999	-1.96481	-0.12959	0.05755	-2.75690
47.982	-1.83362	-0.26552	-0.07202	-2.61591
52.002	-1.44170	-0.26995	-0.03484	-2.72519
56.021	-0.94715	-0.42709	-0.27143	-2.75491
60.002	-1.15975	-0.26670	-0.23539	-2.82874
64.003	-1.60900	-0.42172	-0.30759	-2.70127
67.966	-1.97128	-0.04200	-0.51674	-2.81987
71.998	-1.90106	-0.38023	-0.81320	-2.71904
76.002	-1.90155	-0.25004	-0.84739	-2.16295
80.004	-1.89297	-0.29986	-1.06297	-2.71560
84.004	-1.85941	-0.72001	-0.87880	-2.72403
88.000	-1.68220	-0.63251	-0.86235	-2.75257
92.000	-1.35311	-0.46819	-0.95269	-2.76415
95.956	-1.16200	-0.61030	-0.98660	-2.61169
100.001	-1.28313	-0.42436	-1.04796	-2.53368
104.026	-1.41839	-0.41783	-1.12630	-2.38924
107.979	-1.28427	-0.41820	-1.16699	-2.42035
112.003	-1.29913	-0.52310	-1.07736	-2.50363
116.002	-1.15883	-0.54973	-0.89862	-2.56945
119.990	-1.10904	-0.45390	-0.82878	-2.57007
124.003	-1.13724	-0.51821	-0.78553	-2.50622
128.010	-1.07187	-0.52108	-0.70905	-2.51434
132.000	-1.11214	-0.41311	-0.74992	-2.31863
136.001	-1.14327	-0.36416	-0.67838	-2.30063
140.001	-1.19187	-0.29713	-0.64439	-2.10101
144.003	-1.19524	-0.16290	-0.65399	-1.96551
147.996	-1.32595	-0.20850	-0.65560	-1.74728
152.023	-1.35578	-0.09534	-0.70062	-1.54513
156.002	-1.49242	-0.00840	-0.59121	-1.93384
160.003	-1.57967	0.05445	-0.67690	-1.77217
164.002	-1.53525	0.15510	-0.60536	-1.76922
168.026	-1.73623	0.25280	-0.64903	-1.73378
172.002	-1.80866	0.48920	-0.67307	-1.62836
176.003	-1.59876	0.19852	-0.61734	-1.66535
180.004	-1.62760	0.16856	-0.65384	-1.84047
184.026	-1.69758	0.15372	-0.53875	-1.86687
188.005	-1.74161	0.18621	-0.51046	-1.85315
191.974	-1.56442	0.26991	-0.29414	-1.93201
196.005	-1.56957	0.24648	-0.31034	-1.96254
200.023	-1.59097	0.10100	-0.22028	-1.99486
204.003	-1.56878	0.11026	-0.24376	-2.04844
208.003	-1.59921	-0.00137	-0.11602	-2.05059
212.004	-1.64010	-0.05040	-0.30195	-2.10980
216.004	-1.70323	-0.07335	-0.35055	-2.19890
220.003	-1.74724	-0.10539	-0.49339	-2.28269
