time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	-0.91311	0.04085	0.01782	-0.52574
3.941	-0.91703	0.00721	-0.03956	-0.63405
8.037	-0.90150	-0.01173	-0.11314	-0.68404
12.039	-0.92063	-0.00857	-0.09428	-0.71187
16.001	-0.94589	-0.03357	-0.13342	-0.66672
19.941	-0.94648	-0.03941	-0.11952	-0.86180
23.917	-0.99648	-0.02102	-0.14176	-0.90567
27.917	-1.03965	-0.02852	-0.20462	-0.96924
31.917	-1.03982	-0.08822	-0.25014	-0.97135
35.911	-0.98509	-0.04117	-0.27096	-0.93662
39.915	-0.97807	-0.02139	-0.23348	-0.93088
43.913	-0.74129	-0.02445	0.14099	-0.76036
47.876	-0.30918	0.07708	1.13204	-0.63487
51.910	0.00159	0.13647	1.29308	-0.52586
55.919	0.17330	0.18475	1.37414	-0.40427
59.918	0.03425	0.29329	1.03141	-0.33225
63.917	0.05107	0.35191	1.24453	-0.23442
67.909	0.05524	0.27023	1.39182	-0.08794
71.918	0.06574	0.38580	1.22980	-0.05960
75.915	0.04127	0.36235	1.21077	0.04435
79.920	0.09513	0.42635	1.21335	0.07895
83.910	0.06167	0.41162	1.25597	0.10822
87.918	0.03137	0.43575	1.20929	0.16392
91.877	0.07753	0.45021	1.15838	0.17940
95.922	-0.02857	0.43488	1.06475	0.16552
99.907	-0.00050	0.40178	1.04677	0.16440
103.919	-0.02924	0.39989	1.03962	0.13083
107.917	-0.03896	0.34925	1.04632	0.12480
111.917	-0.02378	0.36754	1.00633	0.07049
115.906	0.00812	0.33360	1.02422	0.03754
119.922	0.03169	0.28574	1.10844	0.02087
123.916	0.06606	0.20294	1.18284	0.01992
127.917	0.13220	0.17911	1.32741	0.06029
131.878	0.13146	0.22839	1.28958	0.06111
135.884	0.10183	0.22267	1.38299	-0.01354
139.918	0.12841	0.19482	1.40055	0.04352
143.918	0.12843	0.20105	1.41762	0.04750
147.877	0.13883	0.17779	1.47206	0.05177
151.919	0.11970	0.19186	1.46755	0.04904
155.920	0.11327	0.17506	1.50480	0.01967
159.916	0.05021	0.14567	1.45683	0.03833
163.878	0.03966	0.22039	1.41427	0.03289
167.917	-0.01196	0.24041	1.31067	0.01178
171.921	-0.05147	0.23274	1.31848	-0.07895
175.920	-0.06167	0.21967	1.25255	-0.11353
179.881	-0.09354	0.21552	1.18517	-0.13768
183.918	-0.09803	0.21072	1.14742	-0.17175
187.918	-0.13784	0.21204	1.08544	-0.22944
191.917	-0.10369	0.26974	1.03359	-0.23859
195.878	-0.11290	0.32634	0.96636	-0.24361
199.915	-0.12441	0.34585	0.90684	-0.26598
203.917	-0.06691	0.35201	0.90294	-0.25760
207.916	-0.03058	0.29732	0.87009	-0.26337
211.877	0.00300	0.28944	0.84039	-0.26350
215.920	0.04157	0.34068	0.84974	-0.22913
219.915	0.06103	0.35621	0.81724	-0.19172
223.918	0.13980	0.39497	0.83600	-0.19492
227.910	0.15876	0.42275	0.82282	-0.18627
231.920	0.26163	0.35061	0.85267	-0.15492
235.919	0.37626	0.28680	0.84930	-0.15226
239.920	0.39457	0.25122	0.94510	-0.16659
243.909	0.37864	0.23718	0.90195	-0.18311
247.922	0.23185	0.25468	0.87776	-0.19723
251.920	-0.18866	0.31645	0.78990	-0.20004
255.921	-0.42562	0.27641	0.77650	-0.15176
259.879	-0.68235	0.27528	0.67302	-0.15627
263.917	-0.57816	0.20890	0.72000	-0.15609
267.920	-0.66146	0.08970	0.72183	-0.12327
271.917	-0.48632	0.06940	0.70496	-0.06053
275.912	-0.65340	0.04199	0.67816	-0.06167
279.880	-0.68397	0.07740	0.53734	-0.11395
283.920	-0.76218	0.04517	0.44244	-0.08926
287.920	-0.87074	0.01821	0.38990	-0.07492
291.910	-0.93095	0.04311	0.31751	-0.07706
295.922	-0.90019	0.04606	0.22639	-0.08732
299.924	-0.90579	0.02112	0.31943	-0.18450
303.912	-0.96936	-0.00837	0.20214	-0.18510
307.880	-0.90971	-0.03623	0.15960	-0.21030
311.919	-0.87379	-0.03396	0.10418	-0.23614
315.919	-0.79471	-0.05856	0.11213	-0.29935
319.919	-0.78734	-0.11700	0.10240	-0.34575
323.879	-0.74739	-0.20725	0.09743	-0.36443
327.918	-0.60992	-0.27941	0.10582	-0.38190
331.918	-0.65211	-0.33042	0.16980	-0.46646
