time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	0.15662	-0.22302	-0.29967	0.82756
3.991	0.15901	-0.24253	-0.34863	0.75841
7.990	0.14074	-0.18386	-0.20780	0.79323
12.001	0.08403	-0.23721	-0.13469	0.81907
15.988	0.00727	-0.25962	-0.22202	0.80056
20.005	-0.04817	-0.27396	-0.21901	0.80873
23.985	-0.06021	-0.26382	-0.25939	0.92313
27.987	-0.12734	-0.20851	-0.19430	0.96882
31.983	-0.05343	-0.20028	-0.06989	1.00788
35.991	-0.01109	-0.16947	-0.13039	1.11427
39.988	0.00285	-0.07480	-0.19911	1.26230
43.990	-0.00444	-0.04957	-0.15546	1.10217
48.003	-0.03879	-0.04523	-0.14327	1.14586
51.986	-0.09738	-0.12817	-0.14824	1.18046
55.985	0.01946	-0.13533	-0.19450	1.17872
59.987	0.01568	-0.09890	-0.22217	1.09377
63.993	0.04559	-0.03951	-0.25046	1.11150
67.997	0.00469	-0.06374	-0.24510	1.09536
71.985	0.10912	-0.05059	-0.22184	1.10979
76.018	0.17998	-0.14472	-0.28150	1.18823
80.007	0.19641	-0.15071	-0.33635	1.18194
83.988	0.11481	-0.28884	-0.29612	1.03104
87.990	0.00620	-0.36240	-0.31039	0.97552
91.985	-0.00355	-0.46243	-0.38933	0.88782
95.986	-0.01375	-0.41671	-0.43140	0.80034
99.984	0.00553	-0.44626	-0.50133	0.80289
104.000	0.02114	-0.36257	-0.43425	0.80052
107.993	0.01072	-0.36744	-0.58255	0.78835
111.989	0.03139	-0.41689	-0.50721	0.62776
116.013	0.01593	-0.49401	-0.56009	0.59069
119.986	-0.03442	-0.54786	-0.57096	0.66642
123.986	-0.07140	-0.45326	-0.60836	0.74860
127.981	-0.05514	-0.30517	-0.52935	0.77916
131.983	-0.07157	-0.23850	-0.60930	0.64269
135.997	-0.04638	-0.16733	-0.62771	0.72628
140.011	0.04254	-0.23589	-0.63764	0.74879
143.996	0.01149	-0.27920	-0.65526	0.78918
147.979	-0.05951	-0.25142	-0.65275	0.81979
151.986	-0.15211	-0.44690	-0.65253	0.76764
155.984	-0.16278	-0.45888	-0.71188	0.76063
159.981	-0.19522	-0.24956	-0.74910	0.81662
163.981	-0.19492	-0.28084	-0.64516	0.81437
167.983	-0.21581	-0.21994	-0.63707	0.86493
171.987	-0.24728	-0.25920	-0.60161	0.94634
175.981	-0.17774	-0.27930	-0.57540	0.83739
179.981	-0.15630	-0.33680	-0.55930	0.89652
183.983	-0.19132	-0.42310	-0.55952	0.82731
187.990	-0.20035	-0.38284	-0.59898	0.84069
191.987	-0.25048	-0.30601	-0.58491	0.85289
195.984	-0.22532	-0.23442	-0.56898	0.80400
199.978	-0.19921	-0.24412	-0.58967	0.78542
203.997	-0.09272	-0.27535	-0.56590	0.78423
