time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	0.20879	-1.06625	1.25733	-3.92432
4.023	0.34933	-1.04179	1.00422	-4.18381
7.999	0.47656	-1.04294	0.69203	-3.97834
12.000	0.78513	-1.05813	0.40797	-3.84663
16.000	0.20206	-1.08647	0.34255	-3.97569
19.989	0.36501	-1.27420	0.28203	-3.79624
24.002	0.38375	-1.11939	0.29389	-3.40935
28.015	0.22696	-1.09849	0.18266	-3.33306
31.964	0.05537	-1.02618	0.00280	-3.11790
35.996	0.13044	-0.89231	0.03462	-3.08727
39.956	0.28607	-0.87190	0.19948	-3.29319
44.002	0.01065	-0.21671	0.09858	-2.95846
47.999	-0.23090	-0.04366	-0.02060	-2.76143
52.020	-0.28627	0.34830	-0.06361	-2.50531
56.000	-0.39690	0.27942	-0.16568	-2.46576
60.001	-0.19119	0.42123	-0.22708	-2.46008
64.000	-0.39723	0.49748	-0.25262	-2.27623
68.022	-0.58081	0.38884	-0.27604	-2.24417
71.979	-0.63022	0.15097	-0.24619	-2.05661
75.998	-0.67734	0.11668	-0.23745	-1.99600
80.002	-0.78826	0.24347	-0.34618	-2.00308
84.023	-0.83399	0.25194	-0.33866	-1.91217
87.957	-0.92584	0.36247	-0.36117	-1.86878
92.004	-0.93793	0.34615	-0.37891	-1.78864
96.003	-1.05290	0.23935	-0.40477	-1.75994
99.999	-1.01122	0.15014	-0.39720	-1.68432
104.002	-1.03317	0.24323	-0.39013	-1.61192
108.004	-1.11551	0.16273	-0.38988	-1.58806
111.992	-1.06619	0.14544	-0.42160	-1.54259
115.992	-1.12050	0.17734	-0.44959	-1.46377
120.004	-1.18403	0.16951	-0.42097	-1.45342
124.003	-1.24302	0.09500	-0.40522	-1.41377
128.002	-1.25629	0.06822	-0.40646	-1.37721
132.001	-1.21772	0.07699	-0.41445	-1.36258
136.004	-1.16096	0.01361	-0.44850	-1.37651
140.003	-1.13342	0.03304	-0.47530	-1.33319
144.003	-1.07356	0.05021	-0.50845	-1.40369
148.028	-1.13826	0.01856	-0.46026	-1.34099
151.999	-0.98335	0.16868	-0.45006	-1.32942
155.973	-1.01050	0.03463	-0.53148	-1.27400
160.002	-0.94309	0.01888	-0.54508	-0.50873
164.023	-0.95981	0.30903	-0.66017	-0.60549
168.004	-0.85208	0.26658	-0.77846	-0.06465
172.002	-0.83044	0.32437	-0.77305	-0.92204
176.008	-0.87788	0.29147	-0.86731	-0.62871
180.024	-0.92140	0.31745	-0.95011	-0.56512
184.003	-0.95222	0.33077	-1.02136	-0.46703
188.005	-0.90086	0.45562	-0.69337	-0.50541
192.003	-0.89436	0.47157	-0.40472	-0.33379
196.027	-0.90011	0.46101	-0.35298	-0.32763
199.995	-0.94011	0.62902	-0.14886	-0.19034
204.001	-0.95358	0.50475	0.06758	-0.11026
208.005	-0.96465	0.60470	0.18318	-0.41733
212.025	-1.01052	0.60200	-0.17628	-0.20955
216.005	-1.01868	0.67978	-0.10622	-0.47379
220.005	-0.99755	0.58936	-0.13439	-0.67027
224.006	-0.98799	0.61853	-0.30158	-0.62336
228.024	-0.90096	0.57097	-0.34407	-0.71752
232.005	-0.86304	0.50121	-1.10427	-0.31868
236.007	-0.98092	0.50716	-1.24635	-0.91098
239.970	-1.11159	0.46247	-0.60354	-1.34797
243.997	-1.09572	0.41930	-0.43787	-1.65859
248.004	-1.20527	0.35456	-0.72739	-1.55257
252.004	-1.10460	0.31840	-0.64950	-1.85767
256.005	-1.08646	0.27811	-0.69196	-1.68901
260.025	-1.27036	0.21571	-0.74943	-1.86084
264.004	-1.29452	0.22671	-0.74573	-1.71999
268.006	-1.16131	0.20136	-0.52203	-1.97757
271.961	-1.15791	0.20939	-0.43093	-2.00857
275.998	-1.18691	0.16822	-0.27748	-1.95733
280.006	-1.09857	0.04733	-0.28083	-1.92315
284.004	-1.02064	0.07744	-0.24125	-1.77422
288.007	-1.06587	0.03168	-0.26480	-1.77598
292.026	-1.12549	-0.13607	-0.27624	-1.84762
296.006	-1.18378	-0.32739	-0.14498	-2.00554
300.006	-1.38091	-0.39352	-0.11121	-2.08764
304.007	-1.52069	-0.67406	-0.08026	-2.12852
308.023	-1.66651	-0.72686	-0.05805	-2.25700
312.006	-2.00415	-0.84345	-0.06249	-2.31547
316.008	-2.03598	-0.93465	-0.04514	-2.47312
320.006	-1.98546	-0.99779	-0.10054	-2.56498
324.024	-1.89664	-0.84385	-0.13809	-2.62171
328.006	-1.92748	-0.96393	-0.17050	-2.41754
332.006	-2.24081	-0.60663	-0.25676	-2.07110
336.004	-2.21744	-0.62685	-0.36226	-1.45090
340.028	-2.32436	-0.54252	-0.35573	-0.41502
343.962	-2.37798	-0.19448	-0.44378	-0.36934
348.010	-2.20652	0.05855	-0.52969	-0.39761
352.005	-2.23521	0.45349	-0.60374	-0.63307
356.027	-2.27406	0.31603	-0.66699	-0.59291
360.006	-2.19365	0.36228	-0.78506	-0.51752
363.981	-2.15631	0.30786	-0.94879	-0.67677
368.005	-2.25142	0.28629	-0.96351	-0.73243
372.028	-2.16900	0.14991	-1.04109	-0.63084
376.006	-2.13071	0.26952	-1.16307	-0.55790
380.009	-2.14060	0.08751	-1.17287	-0.60647
384.007	-2.05831	0.17696	-1.08244	-0.90760
388.029	-2.02676	0.14637	-1.11797	-1.49810
392.008	-2.18505	0.24059	-1.02208	-1.54433
396.009	-2.04034	0.23530	-1.00789	-1.78108
400.009	-1.78679	0.23203	-0.84146	-1.02429
403.992	-1.73745	0.26832	-0.82714	-1.03346
408.005	-1.78037	0.37692	-0.49994	-1.09528
412.008	-1.40579	0.53398	-0.38730	-1.06961
416.010	-1.35822	0.56348	-0.13258	-1.10724
419.996	-1.35370	0.59286	-0.07944	-1.06710
424.008	-1.30253	0.71084	-0.01740	-1.14929
428.010	-1.23781	0.65529	-0.13052	-1.15803
432.010	-1.12072	0.71640	-0.05286	-1.07415
436.031	-1.19465	0.79025	-0.05631	-1.06680
440.011	-1.12794	0.77828	0.03316	-1.02161
444.014	-1.20482	0.80257	-0.04226	-0.94597
447.976	-1.27165	0.75625	0.00578	-0.88287
451.995	-1.30437	0.69062	0.14121	-0.87877
456.010	-1.36538	0.55329	0.13243	-0.93109
460.010	-1.37407	0.23105	0.07125	-0.99116
464.012	-1.38354	-0.19774	0.08828	-1.25831
467.999	-1.18043	-0.49535	0.05522	-1.20150
472.008	-1.01193	-0.51784	0.07006	-1.45095
476.010	-0.37966	-0.46158	0.11352	-1.92997
480.012	-1.27529	0.51478	0.10108	-1.51800
484.010	-1.20169	0.93322	-0.01767	-1.60774
487.987	-1.44530	1.01215	0.00603	-1.62162
492.011	-1.30454	0.67559	-0.27456	-1.60673
496.008	-1.04324	0.30914	-0.25257	-1.68050
500.000	-0.86200	0.06306	-0.64144	-1.57832
504.010	-1.16535	0.32617	-0.66074	-1.64147
508.012	-0.88193	0.28558	-0.79660	-1.59324
512.010	-1.64456	0.28152	-0.81114	-1.60882
516.011	-1.47407	0.37989	-0.58508	-1.51810
520.011	-1.82581	0.34046	-0.82501	-1.50320
523.968	-1.95939	0.36986	-0.82119	-1.52125
528.004	-1.62061	0.37802	-0.74598	-1.46824
532.003	-1.35231	0.43018	-0.77421	-1.42314
535.967	-1.15364	0.49344	-0.43929	-1.47291
540.013	-1.25540	0.84170	-0.59491	-1.59112
544.011	-0.86495	0.35883	-0.32491	-1.57593
548.014	-1.31545	0.28343	-0.27431	-1.53681
552.012	-1.13695	0.24886	-0.36558	-1.55897
555.967	-1.30943	0.12074	-0.38551	-1.58516
560.013	-1.21477	0.25673	-0.48304	-1.59470
564.013	-1.37992	0.17717	-0.37154	-1.61183
568.011	-1.27854	0.07744	-0.35561	-1.57268
571.981	-1.51417	0.05865	-0.36951	-1.61310
576.012	-1.65289	0.03301	-0.20872	-1.66662
580.015	-1.87463	0.02300	-0.34958	-1.53990
584.012	-1.62735	-0.01085	-0.53275	-1.58970
588.010	-1.60377	-0.00025	-0.57761	-1.49915
592.011	-1.25825	0.05925	-0.54138	-1.54597
596.011	-1.34090	-0.00852	-0.35869	-1.59904
600.014	-1.59447	0.08952	-0.31250	-1.53370
604.013	-1.33922	0.11318	-0.23160	-1.50818
608.015	-1.19931	0.12949	-0.09753	-1.53384
611.993	-1.42437	0.23873	-0.37596	-1.50978
616.009	-1.55395	0.39637	-0.27359	-1.50522
620.013	-1.65815	0.61926	-0.67784	-1.35209
624.014	-1.86965	0.14733	-0.76409	-1.36074
628.012	-1.83727	0.65468	-0.29235	-1.40321
632.013	-1.80553	0.34697	-0.24036	-1.64457
636.014	-1.58172	0.17793	-0.15149	-1.51181
640.015	-1.70452	0.33049	-0.34514	-1.38130
644.013	-1.90026	0.26452	-0.51525	-1.69643
648.014	-1.84976	0.15339	-0.43160	-1.63233
652.017	-1.68397	0.43809	-0.65044	-1.45968
655.973	-1.73009	0.16850	-0.36650	-1.69294
660.014	-1.60127	0.05308	-0.54399	-1.75814
664.013	-1.78902	-0.18407	-0.29498	-1.79812
668.014	-1.53731	0.01478	-0.05065	-1.67691
672.015	-1.66510	0.11960	-0.50403	-1.75421
676.013	-1.66014	0.40387	-0.11183	-1.55597
680.019	-1.28474	-0.08057	-0.36139	-1.65468
684.015	-1.24533	-0.12471	-0.12717	-1.81487
688.014	-1.25086	-0.21087	-0.29188	-1.68834
692.017	-1.21348	-0.19323	-0.50994	-1.56914
695.969	-1.30518	-0.12223	-0.40259	-1.42750
700.014	-1.38562	-0.05013	-0.27719	-1.67598
704.014	-1.52603	-0.06476	-0.31478	-1.75901
708.016	-1.18478	0.25035	-0.38430	-1.82846
712.016	-1.26785	0.27004	-0.47023	-1.53824
716.016	-1.40745	0.11703	-0.28391	-1.68896
720.016	-1.31806	0.28676	-0.40877	-1.82999
724.017	-1.55901	0.15609	-0.27776	-2.02285
728.012	-1.35675	0.30349	-0.26751	-1.84280
732.014	-1.27976	0.13192	-0.20080	-1.98866
736.004	-1.40269	0.21433	-0.39596	-1.79065
740.017	-1.35340	0.02519	-0.36898	-1.94182
744.018	-1.43818	-0.45943	-0.18834	-1.98008
748.016	-0.98879	0.33171	-0.33417	-1.93319
752.016	-1.02531	0.63268	-0.24865	-1.60432
756.019	-0.89701	0.50126	-0.43033	-1.59459
760.017	-1.23397	0.24304	-0.43629	-1.73709
764.018	-1.39505	0.27092	-0.34017	-1.36799
768.016	-1.22643	0.34321	-0.59061	-1.53088
772.019	-1.26622	0.17234	-0.49110	-2.05077
776.015	-1.45247	0.43369	-0.63521	-1.26970
779.987	-1.51933	0.54759	-0.54299	-1.49271
784.015	-1.22357	0.35980	-0.44763	-1.66924
788.018	-1.56853	0.35140	-0.49545	-1.69058
792.016	-1.84339	-0.53811	-0.88547	-1.61592
796.017	-2.00814	-1.32550	-1.22308	-1.79034
800.016	-1.67516	-0.98944	-1.44242	-2.04134
804.019	-1.83233	-0.50449	-1.37188	-2.74701
808.021	-1.58463	-0.45495	-1.14357	-2.46987
812.017	-1.81520	-1.09914	-1.07262	-3.09868
816.018	-1.85948	-1.20465	-0.85466	-2.93242
819.913	-1.90155	-1.54035	-1.10318	-2.42561
824.015	-1.74866	-0.80774	-1.26272	-2.82694
828.018	-1.74638	-1.26535	-1.07354	-2.89434
832.018	-1.79819	-1.27328	-1.06897	-3.09241
835.974	-1.80965	-1.26356	-0.90503	-3.12972
839.975	-1.80514	-1.30053	-0.68657	-3.13705
844.018	-1.93351	-1.17523	-0.78511	-3.12021
848.019	-1.90644	-1.29924	-0.68250	-3.25647
852.019	-2.13376	-1.36426	-0.59861	-3.27752
856.020	-2.57276	-1.42605	-0.77541	-3.38019
860.019	-2.16984	-1.48552	-0.94142	-3.23860
864.016	-2.40082	-1.26852	-0.95172	-3.22532
868.021	-2.17276	-1.42123	-1.01526	-3.28536
872.018	-2.32367	-1.44373	-0.95894	-3.22964
876.018	-2.31121	-1.39050	-0.90468	-3.03375
880.022	-2.25897	-1.43767	-1.03054	-2.98141
884.020	-2.23548	-1.35089	-0.95929	-2.90802
888.019	-1.89131	-1.32313	-1.10271	-2.97140
892.019	-2.18778	-0.82061	-1.00102	-2.68677
896.019	-2.16007	-1.18303	-1.07684	-2.71977
899.976	-2.07256	-0.56463	-1.18966	-2.77009
903.998	-1.98122	-1.44026	-0.93053	-1.72996
908.020	-1.75709	-1.28771	0.01601	-2.60414
912.019	-2.34884	-1.38063	-0.60101	-1.95779
916.020	-7.10646	-0.48874	-1.09797	-2.36337
920.021	-4.58816	4.13940	-0.15064	-2.70730
924.020	NaN	NaN	-0.88865	-1.59084
928.018	8.56056	2.35705	0.07016	1.64503
932.022	NaN	NaN	4.20442	14.79709
936.031	NaN	NaN	NaN	NaN
940.023	NaN	NaN	NaN	NaN
944.020	NaN	NaN	NaN	NaN
948.010	NaN	NaN	NaN	NaN
952.018	21.52800	10.89119	-1.57448	12.55560
956.022	NaN	NaN	NaN	NaN
960.020	NaN	NaN	3.23625	-4.16494
964.021	-8.77717	13.95203	3.53565	-8.11649
967.917	NaN	NaN	0.63186	-7.87392
972.020	-5.58002	-5.48964	0.68789	-6.50941
976.023	-0.55625	-3.87766	0.95179	-5.28971
980.026	-1.80211	-9.05229	1.38148	-5.80381
983.919	-0.87612	-7.10257	-0.10647	-6.29816
987.992	-1.95948	-7.33818	0.40412	-5.77841
992.022	-1.37464	-6.42610	0.59200	-5.64033
996.021	-1.72275	-5.89813	-2.09710	-3.25049
1000.023	-2.79369	-4.19376	-3.47168	-3.78316
1004.022	-1.51506	-4.84093	-2.94874	-5.20949
1008.022	-2.32986	-4.16806	-2.82603	-5.43502
1011.897	-1.81267	-3.81627	-0.67965	-5.56239
1015.852	-2.18887	-3.77174	-0.99129	-5.32598
1019.898	-2.92052	-4.90170	-1.24816	-5.25095
1023.897	-2.70314	-5.31369	-1.13124	-5.06689
1027.868	-2.57907	-5.23144	-1.14588	-5.21789
1031.895	-2.48686	-5.33798	-1.16622	-5.16095
1035.894	-2.15472	-5.33342	-1.34996	-5.06660
1039.899	-2.31284	-5.14225	-1.25786	-5.01713
1043.898	-2.17551	-5.41821	-1.24587	-5.00498
1047.889	-2.32555	-5.42784	-1.14441	-5.11296
1051.897	-2.37218	-5.20212	-1.04473	-5.08533
1055.900	-2.51926	-5.16201	-0.93855	-5.05475
1059.898	-2.45512	-5.20887	-0.95229	-5.01318
1063.888	-2.39141	-5.07437	-0.74747	-4.97594
1067.900	-2.32369	-5.02298	-0.75255	-4.94817
1071.900	-2.29964	-4.84241	-0.61608	-4.97448
1075.898	-2.30261	-4.83330	-0.55982	-4.90127
1079.895	-2.31854	-4.79062	-0.64216	-5.12112
1083.898	-2.35315	-4.69241	-0.57548	-5.14258
1087.897	-2.34317	-4.48478	-0.77610	-5.19043
1091.899	-2.35833	-4.00094	-0.75186	-5.19899
1095.919	-2.30209	-4.56713	-0.81352	-5.00104
1099.899	-2.30697	-4.66403	-0.66977	-4.92152
1103.898	-2.23853	-5.13874	-0.61300	-4.64142
1107.900	-2.12699	-5.33661	-0.56605	-4.27111
1111.890	-2.11279	-4.94155	-0.77171	-4.81078
1115.887	-2.02530	-4.43532	-0.82468	-4.62094
1119.889	-1.88623	-3.99803	-1.04850	-4.45782
1123.900	-2.15363	-4.49020	-0.89776	-5.11335
1127.889	-2.30177	-4.16893	-0.82989	-4.88807
1131.899	-2.34468	-4.80464	-0.80029	-4.94360
1135.927	-2.28234	-4.33557	-0.72005	-5.21822
1139.901	-2.08062	-4.21660	-0.64010	-5.19058
1143.890	-1.90061	-4.12921	-0.62153	-5.34385
1147.901	-1.94193	-4.11066	-0.59461	-5.20004
1151.856	-1.75379	-4.28069	-0.66139	-5.13698
1155.901	-1.54408	-4.41421	-0.65886	-5.04560
1159.921	-2.46350	-4.37719	-0.58677	-5.22922
1163.903	-2.01218	-4.36492	-0.58607	-5.21244
1167.901	-1.47972	-4.14318	-0.57818	-5.17903
1171.902	-2.56381	-3.37883	-0.82027	-4.91132
1175.889	-2.15646	-1.00381	-0.70302	-4.56396
1179.901	-1.65108	1.29937	-0.46041	-1.91924
1183.902	-1.43605	2.54112	-0.64650	-0.18101
1187.904	-2.04899	2.88951	-0.61166	1.96072
1191.899	-1.75627	3.16564	-0.50086	0.40788
1195.898	-1.70534	3.11152	-0.70580	0.93157
1199.901	-1.54653	3.20267	-0.58667	0.62107
1203.899	-1.67705	2.93327	-0.77910	0.87797
1207.891	-1.47117	3.12136	-0.74151	0.55907
1211.899	-2.64938	2.91954	-0.94539	0.68010
1215.902	-2.59334	3.09659	-0.79091	0.85000
1219.901	-2.33715	3.13660	-0.95522	0.90351
1223.891	-2.13494	3.17459	-0.84451	0.87925
1227.902	-1.97736	3.23048	-1.12926	1.05005
1231.901	-1.82978	3.25494	-1.17170	0.97302
1235.904	-1.60923	3.28238	-1.44634	0.96762
1239.921	-1.55457	3.32017	-1.65247	0.93373
1243.895	-1.41194	3.29483	-1.63226	0.95319
1247.903	-1.44488	3.30338	-1.65523	0.86842
1251.901	-1.40271	3.27028	-1.87827	0.90976
1255.900	-3.22712	3.24687	-1.53540	1.09934
1259.902	-4.16505	3.35490	-1.51950	0.86364
1263.902	-4.31849	3.40359	-1.46412	0.83336
1267.902	-4.21750	3.36147	-1.54725	3.34499
1271.892	-4.27126	3.25842	-1.49297	2.96931
1275.905	-1.43163	3.41651	-1.48104	2.67334
1279.904	-1.55601	3.38931	-1.34338	2.15870
1283.875	-1.54391	3.40517	-1.23493	1.96841
1287.859	-1.74350	3.42998	-1.22496	2.29644
