time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	0.05122	-2.69675	-0.75369	-2.73814
3.994	0.00916	-2.76084	-0.82496	-2.73239
7.991	-0.00119	-2.78275	-0.84518	-2.74056
12.000	-0.08081	-2.80657	-0.86925	-2.76927
15.997	-0.10746	-2.84616	-0.87654	-2.72668
19.995	-0.13697	-2.87280	-0.87684	-2.69319
23.995	-0.15030	-2.85644	-0.89681	-2.67123
27.995	-0.22036	-2.94147	-0.92879	-2.61733
31.990	-0.21884	-2.94142	-0.94651	-2.57095
36.048	-0.24075	-2.93339	-0.95311	-2.53710
39.991	-0.23860	-2.96275	-0.97254	-2.55338
44.003	-0.23664	-2.96018	-0.96455	-2.51225
47.990	-0.25577	-2.92506	-0.98147	-2.49500
51.993	-0.18864	-2.96066	-1.00623	-2.47688
55.996	-0.09935	-3.09775	-1.02766	-2.41823
59.996	-0.09096	-3.14054	-1.05654	-2.39554
63.990	-0.06108	-3.17015	-1.07160	-2.40111
67.999	-0.05611	-3.17629	-1.01119	-2.42787
71.986	-0.08011	-3.24812	-1.01375	-2.46415
75.994	-0.04271	-3.31304	-0.93470	-2.43717
79.999	-0.03956	-3.28989	-0.93691	-2.41215
83.994	-0.04653	-3.21506	-0.94604	-2.23908
87.989	-0.02323	-2.97510	-0.88887	-1.88338
91.999	-0.02514	-2.55069	-0.88825	-1.32898
96.021	-0.17479	-1.47245	-0.88607	-0.79448
99.994	-0.26853	-0.67114	-0.86116	-0.64334
104.035	-0.25128	-0.60174	-0.80357	-0.59416
107.993	-0.31786	-0.76025	-0.77680	-0.74566
112.000	-0.28354	-1.04088	-0.77414	-0.82963
115.991	-0.32508	-1.08514	-0.77553	-0.87618
119.998	-0.29391	-1.20400	-0.78749	-0.87772
123.992	-0.31263	-1.08882	-0.80536	-0.80053
127.990	-0.30771	-1.07434	-0.76694	-0.77212
131.992	-0.28706	-1.07466	-0.76667	-0.71508
135.997	-0.24832	-1.05613	-0.77181	-0.62830
139.992	-0.22346	-1.06615	-0.73419	-0.72331
143.998	-0.21189	-1.10706	-0.76114	-0.68853
147.995	-0.21408	-1.17514	-0.78513	-0.67640
151.987	-0.17549	-1.20095	-0.78121	-0.71535
155.989	-0.16119	-1.15180	-0.78181	-0.68490
160.012	-0.10734	-1.15677	-0.75905	-0.66030
163.982	-0.10530	-1.13518	-0.77699	-0.59628
168.004	-0.07597	-1.12314	-0.74124	-0.59941
172.000	-0.06013	-1.07830	-0.75781	-0.56232
175.987	-0.06368	-1.07539	-0.77796	-0.51402
179.990	-0.07527	-1.04896	-0.76039	-0.53628
183.995	-0.07952	-1.02467	-0.77503	-0.46087
187.865	-0.08309	-0.97752	-0.76645	-0.48729
191.863	-0.08679	-0.94247	-0.78320	-0.48783
195.865	-0.16757	-1.05674	-0.78230	-0.47563
199.870	-0.15789	-1.15836	-0.78675	-0.44689
203.866	-0.19320	-1.18674	-0.77955	-0.44746
207.863	-0.22586	-1.20825	-0.77096	-0.45653
211.868	-0.19450	-1.32494	-0.76310	-0.45499
215.868	-0.18911	-1.29181	-0.78908	-0.40929
219.869	-0.31871	-1.30739	-0.81069	-0.41521
223.876	-0.34461	-1.41644	-0.80744	-0.40544
