time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	-0.57161	-0.10116	0.23098	-0.11532
4.001	-0.55309	-0.12491	0.20584	-0.12206
7.997	-0.51039	-0.11465	0.16866	-0.11011
12.003	-0.43882	-0.00388	0.19526	-0.13563
16.000	-0.39829	-0.07974	0.16050	-0.16097
20.003	-0.37484	-0.05074	0.08329	-0.19946
23.998	-0.36874	-0.09338	0.01968	-0.15655
28.001	-0.35504	-0.09977	-0.02871	-0.13235
31.961	-0.37117	-0.07949	-0.01025	-0.06732
36.005	-0.38874	-0.04913	-0.07217	-0.07619
39.993	-0.37839	-0.05529	-0.06418	-0.07564
43.965	-0.39023	-0.04908	-0.12518	-0.04100
48.000	-0.37705	-0.05141	-0.09066	0.01498
51.956	-0.38499	-0.10968	-0.10535	-0.00132
55.970	-0.57873	-0.46569	-0.08331	-0.00201
60.002	-0.48996	-0.30210	-0.05926	0.00363
64.000	-0.56136	-0.35515	-0.00936	-0.00432
68.000	-0.61119	-0.33653	0.08619	-0.02510
71.987	-0.74037	-0.31101	0.11848	-0.07810
76.000	-0.78349	-0.38559	0.12967	-0.11167
80.003	-0.95358	-0.31924	0.21370	-0.18025
83.988	-0.91363	-0.35380	0.24654	-0.13016
87.960	-1.00365	-0.43747	0.26371	-0.19447
91.998	-1.02302	-0.49090	0.24482	-0.22165
95.999	-1.04491	-0.45600	0.39705	-0.18495
99.997	-0.98467	-0.42378	0.30982	-0.10158
103.959	-1.02843	-0.43766	0.32618	-0.04572
108.001	-0.98690	-0.43861	0.27649	0.06289
112.002	-0.96953	-0.49953	0.23847	0.01757
116.001	-0.90324	-0.54347	0.21365	0.08961
119.965	-0.82387	-0.57414	0.18703	0.14783
123.999	-0.79719	-0.57511	0.17293	0.20513
127.993	-0.76191	-0.61111	0.14275	0.22958
132.000	-0.68811	-0.63686	0.14064	0.26544
135.988	-0.64997	-0.65349	0.07815	0.31526
140.002	-0.62449	-0.65302	0.11560	0.25781
144.000	-0.62558	-0.67376	0.14905	0.20085
148.001	-0.59990	-0.63814	0.18951	0.13597
