time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	15.10064	1.99446	13.42549	1.44719
3.992	15.13977	2.09644	13.40824	1.43382
8.000	15.02739	2.07398	13.35663	1.45843
12.010	15.12585	2.08831	13.31650	1.38956
15.994	15.01186	2.11752	13.28862	1.45773
20.027	15.07068	2.18625	13.43449	1.22691
23.991	15.09770	2.26666	13.31723	1.60725
27.989	15.08530	2.28193	13.45641	1.50564
31.998	14.98993	2.17471	13.39189	1.57711
35.991	15.04059	2.10297	13.59863	1.35975
40.006	15.09525	2.18758	13.45512	1.55417
44.011	15.01985	2.11279	13.50051	1.50078
48.005	14.44169	1.72073	12.93875	1.38942
51.988	12.10879	-0.47977	10.79430	1.16454
55.993	9.83970	0.32930	8.37597	1.37829
59.989	7.80382	-1.39092	7.00837	1.18084
64.000	6.99702	-2.97069	5.61458	0.81989
67.991	6.51856	-2.97971	4.64855	-0.36526
71.989	5.45206	-2.88695	4.25344	0.09940
75.992	4.98191	-2.68043	3.04405	0.13836
79.989	5.20278	-2.80597	2.51485	0.15938
83.985	5.59322	-2.66389	4.00880	0.34222
88.025	5.87612	-2.71447	4.22412	0.58218
91.995	6.32115	-2.78836	3.99660	0.37554
96.005	5.55951	-2.84736	4.11142	0.08484
99.994	5.34577	-2.88566	3.92904	0.30604
103.983	5.08037	-3.02299	3.09686	0.17873
107.995	5.21508	-3.14415	2.93497	-0.07110
111.989	5.34255	-2.95896	2.94379	0.04010
115.998	5.26243	-3.12190	3.21008	0.20644
119.983	5.79381	-2.97765	2.84118	0.25948
123.999	5.45663	-3.01024	3.02608	0.10137
127.994	5.42331	-3.18287	3.13665	0.19852
131.997	5.42626	-3.16342	3.26386	0.17446
135.987	5.36484	-3.20636	2.94636	0.03072
139.987	5.36317	-3.24607	3.02492	0.14375
143.987	5.36550	-3.26345	3.17829	0.18794
147.991	5.39505	-3.27917	3.04048	0.07405
151.988	5.40208	-3.21381	3.14917	0.06022
156.335	5.36312	-3.19576	3.20310	0.09656
160.001	5.36031	-3.17316	3.12044	0.04972
163.983	5.31362	-3.19686	3.18987	0.01238
167.998	5.33293	-3.14064	3.25698	-0.02655
171.988	5.32006	-3.02308	3.05365	-0.03541
175.998	5.34644	-2.81369	3.12930	-0.05637
179.990	5.35979	-2.94869	3.17839	-0.03645
183.995	5.35256	-2.84631	3.21176	0.00526
187.985	5.39524	-2.73098	3.24838	-0.07882
191.989	5.36218	-2.79197	3.28659	-0.09871
195.990	5.38582	-2.74998	3.25340	-0.10705
199.991	5.50525	-2.67572	3.25555	-0.10015
203.987	5.41079	-2.75063	3.19326	-0.06619
207.986	5.41923	-2.76555	3.20800	-0.07872
211.986	5.40853	-2.89809	3.24845	-0.05929
215.992	5.47805	-2.97656	3.35580	-0.08948
220.007	5.39045	-3.04550	3.23996	-0.12824
224.024	5.34073	-3.05559	3.42490	-0.12886
227.990	5.39721	-3.05844	3.21090	-0.14561
231.990	5.38440	-3.10846	3.17198	-0.21459
235.995	5.36929	-3.26966	3.25191	-0.14754
239.990	5.30208	-3.29971	3.20845	-0.11194
243.986	5.32634	-3.30121	3.03484	-0.16233
247.987	5.33952	-3.41180	3.20822	-0.14313
251.990	5.47023	-3.26480	3.26787	-0.09834
255.993	5.47987	-3.15317	3.24449	-0.09346
259.982	5.45058	-3.17187	3.17327	-0.12800
264.001	5.41866	-3.07582	3.24885	-0.07532
267.991	5.33760	-3.03118	3.21735	-0.05838
271.990	5.41893	-2.81404	3.20602	-0.00206
275.983	5.47237	-2.73828	3.18885	-0.03620
279.986	5.51282	-2.80934	3.21161	-0.04972
283.992	5.55125	-2.62375	3.26381	-0.02478
287.981	5.47796	-2.65671	3.28565	-0.03255
292.019	5.39364	-2.60171	3.28207	-0.02057
296.013	5.47213	-2.52267	3.27722	-0.07457
299.999	5.44355	-2.59115	3.28167	-0.04093
303.986	5.40026	-2.53966	3.18658	-0.03677
307.988	5.37507	-2.61393	3.27007	-0.06760
311.984	5.42277	-2.56732	3.13504	-0.08362
315.997	5.30136	-2.67854	3.26441	-0.09799
319.996	5.45912	-2.80172	3.11858	-0.05868
323.985	5.21070	-2.83408	3.11156	-0.04419
327.983	5.20477	-2.68935	3.06808	-0.05166
331.985	5.10586	-2.68085	2.97893	0.08571
335.990	5.14020	-2.79437	2.88111	0.09671
339.987	5.02935	-2.79527	2.93200	0.09748
343.982	5.01152	-2.86032	2.92445	0.14324
347.988	4.94341	-2.91800	2.99195	0.15371
351.986	5.07707	-2.74639	2.86769	0.19676
355.983	5.02122	-2.58847	2.85826	0.18130
359.989	4.97953	-2.34145	2.77389	0.34673
363.984	4.89762	-2.36390	2.88450	0.37139
367.989	4.97019	-2.43314	2.85918	0.44724
371.984	4.91592	-2.13921	2.99467	0.44716
376.010	4.95452	-2.24109	2.97440	0.50834
379.984	4.94100	-2.22749	2.99351	0.52202
383.999	4.97682	-2.22905	2.95653	0.66090
387.982	5.05289	-2.15417	2.94460	0.59592
391.982	5.02834	-2.23179	3.04336	0.59127
395.994	5.04213	-2.22828	3.05546	0.41977
399.988	5.04481	-2.28299	3.08486	0.44581
403.985	5.04334	-2.27340	3.09292	0.46057
407.983	5.03275	-2.43024	3.07139	0.54174
411.983	5.08478	-2.55312	3.07315	0.50405
415.997	5.04546	-2.54695	3.07756	0.37267
419.986	5.12240	-2.72442	3.03519	0.32109
423.997	5.08069	-2.64559	3.05548	0.23399
427.985	5.07476	-2.70630	3.09906	0.22999
431.983	5.25995	-2.60916	3.11227	0.19406
435.987	4.99928	-2.62895	3.06721	0.19819
