time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	0.05361	0.39077	1.35301	-0.13611
4.022	-0.25937	0.42498	1.20571	-0.20662
7.980	-0.08029	0.40128	1.20646	-0.26794
12.004	0.04475	0.38521	1.23801	-0.34678
16.000	-0.03020	0.40769	1.35425	-0.32613
20.000	0.08944	0.51896	1.44148	-0.47083
24.000	0.00635	0.49188	1.54805	-0.53348
28.001	-0.00856	0.26482	1.72572	-0.70941
32.000	-0.08622	0.36441	1.74836	-0.60147
35.992	-0.09138	0.40585	1.82281	-0.77369
40.000	-0.11776	0.56351	1.73487	-0.52786
44.002	-0.07349	0.52659	1.91670	-0.75284
48.009	-0.00149	0.49881	2.13415	-0.87044
52.021	0.10801	0.46546	2.19118	-1.01372
56.001	0.02149	0.37385	2.20337	-1.01100
60.001	0.05219	0.28447	2.31651	-1.01147
64.002	0.03822	-0.03375	2.11232	-0.96236
68.021	0.02874	-0.38145	2.22490	-1.00791
72.000	0.00176	-0.58565	2.00804	-0.87235
76.000	0.03214	-0.22819	2.16169	-0.94599
80.000	-0.04569	-0.06973	2.17036	-0.92687
84.026	0.01484	-0.03198	2.04126	-0.97623
88.001	0.09269	-0.20769	2.01930	-1.01013
92.002	0.10026	-0.13970	1.95368	-1.03326
95.957	0.12176	-0.27876	1.96080	-0.97265
100.025	0.10940	-0.39942	1.80325	-0.97810
104.003	0.06887	-0.18296	1.62711	-1.06654
108.001	-0.03718	-0.25624	1.19852	-1.13394
112.002	-0.22671	0.07358	1.01635	-1.30179
116.024	-0.97842	0.15851	1.34175	-1.31455
119.959	-0.53572	0.10160	1.07046	-1.50902
124.002	-0.85270	-0.62722	1.52429	-1.52879
128.004	-1.05878	-0.21004	1.48451	-1.52941
132.012	-1.25086	-0.04872	1.21764	-1.77339
136.001	-1.29807	-0.16518	1.06314	-1.64711
140.003	-0.66856	0.02353	1.25657	-1.65509
144.002	-0.67905	-0.28010	0.89441	-1.59722
148.027	-0.81255	0.07417	0.81406	-1.58340
152.010	-0.95772	0.05931	1.12700	-1.62441
156.002	-0.69536	-0.17883	0.94810	-1.73281
159.957	-0.78263	-0.14545	0.60282	-1.67774
164.026	-1.05979	-0.21138	0.65124	-1.84052
168.004	-0.97450	-0.07275	0.56195	-1.80826
172.002	-0.79781	-0.54351	0.62317	-1.69501
176.003	-0.90292	-0.28702	0.81141	-1.64045
180.027	-0.93964	-0.12234	0.86347	-1.69000
184.002	-1.18423	-0.51684	0.71005	-1.46564
188.005	-0.94993	-0.32495	0.78193	-1.64421
192.003	-0.76320	-0.77423	0.94296	-1.75515
196.032	-0.86721	-0.60874	0.82523	-1.75504
200.003	-0.91230	-0.37713	0.56267	-1.71087
204.004	-0.98194	-0.39146	0.49001	-1.56982
208.004	-1.05369	-0.51366	0.60074	-1.66039
212.012	-1.12459	-0.01811	0.94150	-1.70399
215.986	-1.17389	-0.50084	0.99104	-1.80656
219.999	-0.83131	-0.42055	1.05689	-1.84874
224.003	-0.78583	-0.60855	0.91708	-1.82112
228.009	-0.75144	-0.58654	0.92693	-1.65127
232.007	-0.64310	-0.69779	0.81595	-1.58310
236.004	-0.71752	-0.68212	0.89344	-1.44743
240.005	-0.68335	-0.66628	0.88217	-1.55822
244.010	-0.65578	-0.73214	0.83441	-1.64156
248.005	-0.84091	-0.63883	0.75151	-1.78617
252.008	-0.40745	-0.61152	0.61689	-1.59163
256.002	-0.46969	-0.72752	0.58024	-1.71240
260.040	-0.49550	-0.77892	0.46981	-1.80406
264.006	-0.51582	-0.76553	0.49207	-1.56416
268.004	-0.62503	-0.78146	0.46391	-1.23919
272.005	-0.94534	-0.90260	0.38909	-1.31789
276.028	-0.67114	-0.97768	0.35680	-1.40278
279.962	-0.70876	-0.98222	0.26882	-1.37366
284.005	-0.56426	-0.67375	0.23877	-1.26081
288.008	-0.50086	-0.76881	0.20859	-1.19715
292.010	-0.43527	-0.71942	0.19571	-1.09486
296.005	-0.35062	-0.71963	0.22716	-1.05397
299.983	-0.43063	-0.79592	0.34610	-1.13362
304.005	-0.59272	-0.72867	0.31607	-1.25730
308.009	-0.52788	-0.76811	0.20936	-1.26660
312.007	-0.75278	-0.67024	0.23051	-1.60385
316.006	-1.35380	-0.71117	0.24912	-1.56231
320.007	-0.41149	-0.89780	0.22827	-1.71988
324.028	-0.45616	-0.84478	0.25103	-2.00886
328.007	-0.31459	-0.54989	0.28014	-2.10914
332.007	-0.28684	-0.34564	0.57044	-2.14114
336.008	-0.53580	-0.30143	0.48463	-2.01960
340.015	-0.52716	-0.35192	0.42899	-2.01028
344.005	-0.90932	-0.76790	0.66692	-2.04187
348.007	-1.49460	-1.15573	0.42973	-1.93625
352.006	-0.90679	-0.88693	0.36176	-1.64997
356.007	-0.55247	-0.16748	0.43614	-0.49904
360.007	-0.58806	0.11331	1.00747	-1.10463
363.998	-0.72600	-0.11666	0.60771	-1.46778
368.007	-1.15769	-0.57115	0.63099	-1.62949
371.996	-1.63326	-0.65711	0.65412	-1.88227
376.009	-1.03322	-0.74914	0.59334	-1.83573
380.006	-0.92664	-0.50697	0.57736	-1.62382
384.008	-1.10589	-0.23488	0.51810	-1.41712
388.013	-1.18507	-0.53043	0.69369	-1.28899
392.007	-1.94079	-0.68216	0.51443	-1.25592
396.007	-0.96720	-0.39529	0.14553	-0.91308
399.963	-1.01074	-0.45863	0.41035	-1.32670
404.008	-0.93254	-1.23192	1.06671	-1.44474
408.010	-1.36253	-1.24323	0.68106	-1.24933
412.010	-1.80060	-0.83128	0.56694	-1.43750
416.009	-1.17572	-0.49061	0.65953	-1.49958
420.012	-1.40569	-0.22201	0.44520	-1.18465
423.990	-0.99750	-0.50157	0.20775	-1.17224
428.007	-0.64528	-0.58581	0.06850	-0.77137
432.008	-0.70394	-0.48742	0.85739	-1.35134
436.013	-0.50944	-0.46577	1.06838	-1.27525
440.010	-1.09410	-0.42074	1.24615	-1.02520
444.009	-1.45509	-0.35649	1.23434	-1.23294
448.010	-1.77519	-0.27989	0.99928	-1.04329
452.013	-1.57124	-0.30580	0.76863	-1.17430
456.010	-1.59318	-0.23742	0.75732	-1.28415
460.014	-1.16121	-0.35941	0.51962	-1.25307
464.011	-1.71474	-0.59048	0.35658	-1.23928
468.015	-1.61835	-0.71476	0.30672	-1.41555
472.011	-1.12792	-0.72124	0.15697	-1.34662
476.009	-1.16180	-0.58540	0.21202	-1.24278
480.008	-0.96822	-0.78338	0.14300	-1.26310
484.009	-1.09889	-0.67435	-0.06669	-1.35544
488.012	-0.89890	-0.67280	-0.07301	-1.32949
492.011	-1.09194	-0.53422	-0.12885	-1.35147
496.010	-0.94666	-0.66820	-0.21738	-1.36512
500.010	-0.94830	-0.45007	-0.21554	-1.31888
504.011	-0.80605	-0.40562	-0.30632	-1.34502
507.980	-0.80260	-0.27180	-0.35067	-1.29025
512.009	-0.79387	-0.31727	-0.33893	-1.26420
516.014	-0.87806	-0.35818	-0.35067	-1.24063
520.013	-0.89046	-0.11191	-0.34762	-1.24952
524.014	-1.11658	-0.36595	-0.28825	-1.32905
527.982	-1.13886	-0.19694	-0.32151	-1.25024
532.014	-1.28971	-0.30181	-0.38804	-1.20523
536.012	-1.28006	-0.03980	-0.37866	-1.16643
540.011	-1.21717	-0.20898	-0.25314	-0.99358
544.013	-1.17269	-0.17639	-0.18909	-1.14663
548.014	-1.39346	-0.43808	0.01851	-1.15973
552.001	-1.46087	-0.46829	0.01814	-1.17766
556.011	-1.47970	-0.42355	0.08810	-1.07482
560.010	-1.59460	-0.31399	0.21202	-1.15597
564.016	-1.65123	-0.27099	0.29195	-1.10459
568.012	-1.70958	-0.18991	0.39201	-1.08754
572.012	-1.74295	-0.19910	0.39224	-1.00375
576.020	-1.82026	-0.11964	0.39268	-0.94791
580.015	-1.80429	0.08415	0.37705	-1.06280
584.013	-1.93665	-0.00355	0.43614	-1.02352
588.015	-1.89312	0.16704	0.44500	-0.92915
591.976	-1.87711	0.24605	0.35660	-0.89903
595.911	-1.85328	0.22094	0.25324	-0.94015
600.013	-1.91159	0.18115	0.20400	-0.84746
604.012	-1.78431	0.35991	-0.02874	-0.90307
608.013	-1.61590	0.25584	0.02616	-1.00698
612.016	-1.52610	0.16554	-0.06587	-0.84859
616.012	-1.47893	0.40333	0.03891	-1.00065
