time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	-1.14058	1.61865	-1.59305	1.37788
1.000	-1.11687	1.63854	-1.49823	1.51110
2.000	-1.14651	1.45368	-1.59305	1.43552
3.000	-1.03584	1.44379	-1.55552	1.52299
4.000	-1.03781	1.31258	-1.33424	1.41581
5.000	-0.87772	1.35241	-1.26903	1.30055
6.000	-0.86388	1.29873	-1.21765	1.25883
7.000	-0.86388	1.16353	-1.12477	1.11572
8.000	-0.78877	1.08401	-0.92911	1.09789
9.000	-0.75715	0.95078	-0.95876	0.80556
10.000	-0.59308	0.81756	-0.95678	0.66037
11.000	-0.69587	0.70020	-0.89551	0.55895
12.000	-0.67215	0.70219	-0.77691	0.29640
13.000	-0.58122	0.78972	-0.79866	0.34016
14.000	-0.61482	0.66440	-0.74924	0.12930
15.000	-0.59110	0.80761	-0.82040	0.15118
16.000	-0.51203	0.84144	-0.81249	0.00199
17.000	-0.60296	0.85336	-0.83621	0.02188
18.000	-0.56540	0.82950	-0.86191	-0.06365
19.000	-0.51401	0.72409	-0.87970	-0.06365
20.000	-0.59110	0.75789	-0.86191	-0.00995
21.000	-0.55552	0.67635	-0.99433	-0.09349
22.000	-0.53180	0.52120	-0.81842	0.03382
23.000	-0.49028	0.40383	-0.91725	-0.11935
24.000	-0.49819	0.29840	-0.89749	-0.27252
25.000	-0.47447	0.19297	-0.70773	-0.35807
26.000	-0.41912	0.12334	-0.75517	-0.37994
27.000	-0.39539	0.07759	-0.75912	-0.48935
28.000	-0.43691	-0.10146	-0.69389	-0.54704
29.000	-0.33609	-0.09151	-0.59703	-0.54307
30.000	-0.33213	-0.14523	-0.60099	-0.61269
31.000	-0.34202	-0.06963	-0.60692	-0.64849
32.000	-0.37563	-0.09549	-0.64645	-0.64849
33.000	-0.23922	-0.04377	-0.65041	-0.64451
34.000	-0.29457	0.01592	-0.60494	-0.54506
35.000	-0.29852	0.08753	-0.66622	-0.47742
36.000	-0.31434	0.07759	-0.80063	-0.45951
37.000	-0.29259	0.23276	-0.75517	-0.45553
38.000	-0.34004	0.22878	-0.73343	-0.46548
39.000	-0.36376	0.22480	-0.84214	-0.28048
40.000	-0.31039	0.25265	-0.82831	-0.36402
41.000	-0.36376	0.30437	-0.77494	-0.27253
42.000	-0.33016	0.37798	-0.82831	-0.22876
43.000	-0.31236	0.30836	-0.89749	-0.18499
44.000	-0.30446	0.32427	-0.89353	-0.29639
45.000	-0.38946	0.38196	-0.82633	-0.31430
46.000	-0.44284	0.35609	-0.87772	-0.23671
47.000	-0.31632	0.33024	-0.78877	-0.30634
48.000	-0.49028	0.32227	-0.83028	-0.37198
49.000	-0.31039	0.30040	-0.72354	-0.32425
50.000	-0.42109	0.26459	-0.82238	-0.30634
51.000	-0.28864	0.36406	-0.70378	-0.33619
52.000	-0.30841	0.31233	-0.84807	-0.42171
53.000	-0.29852	0.34217	-0.79668	-0.26656
54.000	-0.38749	0.26459	-0.73540	-0.37796
55.000	-0.37365	0.30835	-0.80656	-0.41574
56.000	-0.34795	0.21088	-0.82435	-0.34015
57.000	-0.47052	0.24469	-0.77296	-0.24070
58.000	-0.44482	0.22281	-0.73540	-0.21285
59.000	-0.34202	0.22281	-0.74726	-0.29839
60.000	-0.38156	0.25066	-0.82633	-0.20688
61.000	-0.41121	0.23276	-0.84807	-0.14919
62.000	-0.34399	0.29642	-0.81645	-0.21484
63.000	-0.36969	0.28249	-0.80261	-0.35408
64.000	-0.36772	0.19098	-0.78877	-0.03581
65.000	-0.32422	0.27454	-0.85796	-0.20091
66.000	-0.36772	0.36604	-0.84610	-0.09946
67.000	-0.33411	0.27652	-0.95678	-0.17107
68.000	-0.37167	0.29443	-0.86191	-0.16709
69.000	-0.26689	0.23276	-0.77296	-0.25462
70.000	-0.33213	0.20292	-0.78284	-0.10344
71.000	-0.26887	0.29045	-0.77889	-0.15317
72.000	-0.28666	0.28448	-0.76110	-0.18102
73.000	-0.29062	0.26260	-0.82831	-0.17505
74.000	-0.42900	0.13528	-0.80063	-0.25263
75.000	-0.36179	0.19894	-0.88167	-0.16311
76.000	-0.31829	0.13130	-0.81645	-0.09946
77.000	-0.30248	0.13528	-0.84412	-0.15715
78.000	-0.32225	0.16114	-0.93702	-0.14322
79.000	-0.28469	0.24271	-0.75517	-0.28446
80.000	-0.32818	0.22082	-0.91527	-0.17704
81.000	-0.35388	0.17905	-0.90737	-0.15118
82.000	-0.30050	0.18899	-0.84610	-0.25661
83.000	-0.31039	0.19297	-0.75319	-0.20290
84.000	-0.32027	0.25066	-0.77098	-0.20887
85.000	-0.36376	0.24469	-0.85993	-0.19892
86.000	-0.35586	0.29244	-0.78087	-0.28247
87.000	-0.21352	0.28449	-0.70971	-0.22280
88.000	-0.33806	0.26857	-0.70773	-0.35409
89.000	-0.25899	0.20093	-0.86388	-0.21682
90.000	-0.31632	0.27851	-0.77691	-0.26059
91.000	-0.31039	0.14125	-0.79668	-0.20887
92.000	-0.26096	0.21287	-0.83424	-0.15914
93.000	-0.26492	0.24669	-0.81447	-0.25064
94.000	-0.30841	0.24867	-0.76308	-0.25065
95.000	-0.24119	0.15716	-0.83424	-0.17704
96.000	-0.31632	0.24072	-0.69982	-0.26457
97.000	-0.35586	0.11340	-0.68599	-0.24269
98.000	-0.22933	0.29443	-0.85203	-0.24467
99.000	-0.23526	0.19297	-0.73540	-0.27452
100.000	-0.36376	0.10942	-0.68599	-0.32027
101.000	-0.26492	0.19894	-0.74726	-0.40580
102.000	-0.30643	0.25663	-0.79668	-0.27451
103.000	-0.45075	0.13727	-0.74331	-0.33618
104.000	-0.25899	0.28647	-0.67808	-0.30834
105.000	-0.30446	0.22679	-0.76308	-0.36801
106.000	-0.30841	0.15318	-0.72750	-0.33618
