time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	2.19735	-0.66793	1.80638	-0.06164
1.000	2.15984	-0.66397	1.83601	-0.18691
2.000	2.16774	-0.67391	1.81823	-0.10539
3.000	2.22499	-0.60033	1.86761	-0.08948
4.000	2.20130	-0.64606	1.81428	-0.01988
5.000	2.19538	-0.61625	1.88735	-0.04971
6.000	2.17169	-0.59837	1.88933	-0.04772
7.000	2.18550	-0.63812	1.84983	-0.10539
8.000	2.16971	-0.60036	1.83996	-0.03181
9.000	2.21512	-0.61624	1.87551	-0.07953
10.000	2.17761	-0.59240	1.87156	-0.04374
11.000	2.18945	-0.57053	1.83008	-0.01193
12.000	2.19735	-0.61426	1.89328	-0.01591
13.000	2.21709	-0.60630	1.87156	0.00795
14.000	2.22301	-0.61823	1.90513	-0.08152
15.000	2.20919	-0.61624	1.90118	-0.09942
16.000	2.21512	-0.59636	1.80638	-0.01790
17.000	2.18550	-0.64408	1.93278	-0.06561
18.000	2.18156	-0.60035	1.89723	-0.08152
19.000	2.18156	-0.63613	1.86958	-0.07954
20.000	2.21314	-0.60233	1.83403	-0.09346
21.000	2.18156	-0.57252	1.90118	-0.10141
22.000	2.19143	-0.61029	1.85576	0.00199
23.000	2.18156	-0.60433	1.90513	-0.06363
24.000	2.15984	-0.61428	1.86366	-0.08550
25.000	2.20130	-0.59438	1.89920	-0.08152
26.000	2.20130	-0.60233	1.86958	-0.04573
27.000	2.22301	-0.62021	1.82811	-0.10141
28.000	2.20722	-0.60034	1.92093	-0.07953
29.000	2.18945	-0.62221	1.88341	-0.06959
30.000	2.17761	-0.59837	1.91303	-0.07754
31.000	2.20525	-0.61624	1.87156	-0.05170
32.000	2.20327	-0.57848	1.89328	-0.10141
33.000	2.21117	-0.57251	1.87353	-0.06164
34.000	2.23288	-0.58841	1.93672	-0.08152
35.000	2.25460	-0.56454	1.99399	-0.06760
36.000	2.25460	-0.59237	1.95845	-0.11731
37.000	2.20327	-0.59836	1.97029	-0.07953
38.000	2.21906	-0.59040	1.91895	-0.08152
39.000	2.21709	-0.63810	1.95647	-0.10538
40.000	2.24275	-0.57250	1.97622	-0.11930
41.000	2.23486	-0.60828	1.90118	-0.14515
42.000	2.21512	-0.59438	1.97227	-0.07158
43.000	2.24670	-0.60231	1.93475	-0.14515
44.000	2.23683	-0.58045	1.89130	-0.09345
45.000	2.20722	-0.62618	1.97227	-0.16502
46.000	2.22301	-0.61226	2.01966	-0.11929
47.000	2.23288	-0.62220	1.96042	-0.07953
48.000	2.26052	-0.58044	1.89920	-0.08948
49.000	2.20722	-0.61426	2.02361	-0.09941
50.000	2.21512	-0.56058	1.97819	-0.08549
51.000	2.20722	-0.55661	1.91105	-0.11930
52.000	2.19340	-0.56258	1.99202	-0.07754
53.000	2.24867	-0.60629	1.95647	-0.04573
54.000	2.26447	-0.58044	1.95252	-0.14117
55.000	2.24275	-0.61424	1.92093	-0.06959
56.000	2.17366	-0.63614	2.03743	-0.11134
