time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	-0.80459	1.67248	-1.33819	1.42376
1.000	-0.78284	1.50154	-1.33424	1.40984
2.000	-0.75912	1.52342	-1.21567	1.33238
3.000	-0.71564	1.51747	-1.27891	1.31247
4.000	-0.74726	1.48764	-1.26310	1.38603
5.000	-0.71168	1.52741	-1.24927	1.33038
6.000	-0.69982	1.51747	-1.22555	1.31846
7.000	-0.67413	1.50356	-1.26705	1.38404
8.000	-0.76505	1.47570	-1.37573	1.39988
9.000	-0.73343	1.52342	-1.30855	1.35221
10.000	-0.74529	1.54330	-1.29669	1.34427
11.000	-0.82435	1.54327	-1.26903	1.22501
12.000	-0.74726	1.37830	-1.24532	1.16140
13.000	-0.77098	1.52938	-1.28879	1.37409
14.000	-0.82238	1.53333	-1.23939	1.37412
15.000	-0.86191	1.59494	-1.45279	1.24082
16.000	-0.82831	1.55718	-1.41722	1.33029
17.000	-0.85005	1.45381	-1.26508	1.34627
18.000	-0.80261	1.42997	-1.29274	1.23493
19.000	-0.86191	1.45181	-1.34016	1.27865
20.000	-0.71959	1.54530	-1.30855	1.37010
21.000	-0.75912	1.44191	-1.32831	1.31046
22.000	-0.82040	1.43394	-1.25520	1.22104
23.000	-0.83226	1.38224	-1.25915	1.33037
24.000	-0.86388	1.45976	-1.20382	1.35823
25.000	-0.80459	1.47569	-1.34016	1.22298
26.000	-0.78680	1.30671	-1.36783	1.28857
27.000	-0.78284	1.57708	-1.37375	1.34224
28.000	-0.84017	1.40809	-1.35992	1.27864
29.000	-0.75715	1.44589	-1.38758	1.31639
30.000	-0.80854	1.34050	-1.26903	1.34229
31.000	-0.84807	1.46971	-1.27298	1.15940
32.000	-0.77098	1.41606	-1.32831	1.30847
33.000	-0.81645	1.48165	-1.34807	1.31244
34.000	-0.78482	1.49955	-1.36190	1.33032
35.000	-0.84017	1.39815	-1.27100	1.22103
36.000	-0.76703	1.30274	-1.41327	1.32631
37.000	-0.82633	1.42201	-1.32633	1.33034
38.000	-0.74133	1.43993	-1.28088	1.22699
39.000	-0.81645	1.36038	-1.27496	1.27868
40.000	-0.75319	1.45384	-1.32436	1.30648
41.000	-0.79866	1.51147	-1.27693	1.24687
42.000	-0.83621	1.37230	-1.27891	1.25880
43.000	-0.75912	1.39619	-1.23346	1.31448
44.000	-0.85796	1.54127	-1.32831	1.27865
45.000	-0.84214	1.56115	-1.46859	1.35808
46.000	-0.86586	1.46175	-1.29472	1.41980
47.000	-0.88563	1.51542	-1.36980	1.36411
48.000	-0.80261	1.45581	-1.31645	1.31046
49.000	-0.81645	1.29278	-1.30657	1.34824
50.000	-0.74133	1.43794	-1.27496	1.36217
51.000	-0.63855	1.51550	-1.15441	1.31651
52.000	-0.63459	1.55725	-1.10106	1.22707
53.000	-0.51796	1.35052	-0.94097	0.98056
54.000	-0.48633	1.36643	-0.96271	0.93482
55.000	-0.39539	1.15568	-0.69389	0.73998
56.000	-0.31039	0.83350	-0.64250	0.69225
57.000	-0.23329	0.71615	-0.44086	0.42373
58.000	-0.13246	0.62068	-0.41319	0.17507
59.000	-0.16014	0.30040	-0.24910	0.13329
60.000	-0.03559	0.17109	-0.15816	-0.04576
61.000	0.00000	0.06366	-0.08106	-0.31632
62.000	-0.08303	-0.03780	-0.11862	-0.45756
63.000	0.03559	-0.14324	-0.13444	-0.60874
64.000	0.05338	-0.25465	-0.21154	-0.79970
65.000	0.06920	-0.20889	-0.27085	-0.84345
66.000	0.07117	-0.18303	-0.28073	-0.85737
67.000	-0.00198	-0.33820	-0.25305	-0.96875
68.000	0.10874	-0.40385	-0.31829	-1.03040
69.000	0.26689	-0.37997	-0.36969	-1.04233
70.000	0.36574	-0.51723	-0.29852	-1.07018
71.000	0.13048	-0.52321	-0.33806	-0.96477
72.000	0.28666	-0.61470	-0.34597	-1.16364
73.000	0.37167	-0.52320	-0.23131	-1.03638
74.000	0.25899	-0.70422	-0.14630	-1.09604
75.000	0.29259	-0.77184	-0.20561	-1.05428
76.000	0.29852	-0.79372	-0.13444	-1.17360
77.000	0.35981	-0.78775	-0.17002	-1.05428
78.000	0.50808	-0.70221	-0.15421	-0.98069
79.000	0.34202	-0.68034	-0.06524	-0.98666
80.000	0.37760	-0.75990	-0.11664	-0.94489
81.000	0.35190	-0.63459	-0.08897	-0.97274
82.000	0.33213	-0.59083	-0.14234	-0.91108
83.000	0.34597	-0.54309	-0.22538	-0.89716
84.000	0.34597	-0.50132	-0.16211	-0.79373
85.000	0.23724	-0.39191	-0.23724	-0.66245
86.000	0.30050	-0.36207	-0.32225	-0.57492
87.000	0.34993	-0.32029	-0.31632	-0.63062
88.000	0.38551	-0.27652	-0.33411	-0.66443
89.000	0.36574	-0.28647	-0.34597	-0.57691
90.000	0.29457	-0.28448	-0.42109	-0.54706
91.000	0.19177	-0.16114	-0.30841	-0.63658
92.000	0.17595	-0.42175	-0.36376	-0.52718
93.000	0.32422	-0.33819	-0.25503	-0.70820
94.000	0.31236	-0.40583	-0.32818	-0.60675
95.000	0.37760	-0.26061	-0.30446	-0.55702
96.000	0.31829	-0.29244	-0.39935	-0.68432
97.000	0.24119	-0.39987	-0.33213	-0.61470
98.000	0.28864	-0.24470	-0.25899	-0.66642
99.000	0.26689	-0.33820	-0.38156	-0.67238
100.000	0.25899	-0.30836	-0.29457	-0.62266
101.000	0.28666	-0.24470	-0.22340	-0.66842
102.000	0.27480	-0.29841	-0.25108	-0.45756
103.000	0.30248	-0.35411	-0.29852	-0.53712
104.000	0.30841	-0.34217	-0.27678	-0.65449
105.000	0.23526	-0.31433	-0.33213	-0.56497
106.000	0.23329	-0.38196	-0.31632	-0.50729
107.000	0.31632	-0.32427	-0.28073	-0.55503
108.000	0.18386	-0.28449	-0.39935	-0.47744
109.000	0.28073	-0.27454	-0.32818	-0.52320
110.000	0.35190	-0.15318	-0.42109	-0.49733
111.000	0.18781	-0.33223	-0.26096	-0.47546
112.000	0.26294	-0.32825	-0.27085	-0.59680
113.000	0.28666	-0.18899	-0.34993	-0.49137
114.000	0.16804	-0.26658	-0.38156	-0.52121
115.000	0.24712	-0.20292	-0.31039	-0.59680
116.000	0.26492	-0.28846	-0.33213	-0.64653
117.000	0.17595	-0.31632	-0.20363	-0.59482
118.000	0.18386	-0.17706	-0.31434	-0.52320
119.000	0.21352	-0.19695	-0.29062	-0.53514
120.000	0.29852	-0.22679	-0.34993	-0.50927
121.000	0.21549	-0.19098	-0.36969	-0.52320
122.000	0.07710	-0.35213	-0.28469	-0.68433
123.000	0.21549	-0.33820	-0.39144	-0.56696
124.000	0.19968	-0.30040	-0.37365	-0.59481
125.000	0.20165	-0.28449	-0.27876	-0.69228
126.000	0.22933	-0.27852	-0.29259	-0.57293
127.000	0.16607	-0.31035	-0.41516	-0.73603
128.000	0.17595	-0.33820	-0.28073	-0.62266
129.000	0.11269	-0.27653	-0.25701	-0.61670
130.000	0.16804	-0.28250	-0.23724	-0.63858
131.000	0.25899	-0.39191	-0.27282	-0.56498
132.000	0.16211	-0.37401	-0.22340	-0.70621
133.000	0.14630	-0.32427	-0.29259	-0.66443
134.000	0.21549	-0.43568	-0.19968	-0.70621
135.000	0.21549	-0.31631	-0.40330	-0.66840
136.000	0.16804	-0.33223	-0.34399	-0.71615
137.000	0.32422	-0.24072	-0.32225	-0.70421
138.000	0.26096	-0.35809	-0.27876	-0.65250
139.000	0.17595	-0.39788	-0.26294	-0.51524
140.000	0.10874	-0.46353	-0.29655	-0.53315
141.000	0.11862	-0.32825	-0.29457	-0.51325
142.000	0.13246	-0.38793	-0.24910	-0.59283
143.000	0.17595	-0.44761	-0.20758	-0.63261
144.000	0.20165	-0.41976	-0.33806	-0.71018
145.000	0.10676	-0.49138	-0.22340	-0.63261
146.000	0.16211	-0.47347	-0.30643	-0.71615
147.000	0.17200	-0.38594	-0.27282	-0.69427
148.000	0.21352	-0.45159	-0.36179	-0.61271
149.000	0.21154	-0.51326	-0.30643	-0.81162
150.000	0.10280	-0.46751	-0.23724	-0.56100
151.000	0.11467	-0.52520	-0.19572	-0.78378
152.000	0.21352	-0.47546	-0.27678	-0.64255
153.000	0.17002	-0.45358	-0.24712	-0.63659
154.000	0.09292	-0.55305	-0.23329	-0.71814
155.000	0.11269	-0.56498	-0.20165	-0.59681
156.000	0.19177	-0.43568	-0.32225	-0.61470
157.000	0.20956	-0.53116	-0.15421	-0.59084
158.000	0.17991	-0.48342	-0.28271	-0.57691
159.000	0.09687	-0.38396	-0.27480	-0.66046
160.000	0.20363	-0.60078	-0.30446	-0.63658
161.000	0.07710	-0.66046	-0.27678	-0.67836
162.000	0.20165	-0.60078	-0.27678	-0.63659
163.000	0.28864	-0.52718	-0.20956	-0.61073
164.000	0.18584	-0.56896	-0.15421	-0.65847
165.000	0.21352	-0.56697	-0.23329	-0.73605
166.000	0.16409	-0.64455	-0.22340	-0.77782
167.000	0.21154	-0.48939	-0.29062	-0.59083
168.000	0.16211	-0.57493	-0.27480	-0.54906
169.000	0.19177	-0.50928	-0.22340	-0.64057
170.000	0.09094	-0.66444	-0.25108	-0.56498
171.000	0.12060	-0.42175	-0.38551	-0.59083
172.000	0.23724	-0.55702	-0.33609	-0.62266
173.000	0.14630	-0.48541	-0.27876	-0.53713
174.000	0.16211	-0.42772	-0.36772	-0.60276
175.000	0.17002	-0.55702	-0.25899	-0.58885
176.000	0.14827	-0.52718	-0.27678	-0.59282
177.000	0.18979	-0.50132	-0.26689	-0.64255
178.000	0.11269	-0.51923	-0.25305	-0.69228
179.000	0.14037	-0.46353	-0.25899	-0.50729
180.000	0.14432	-0.47546	-0.22340	-0.72411
181.000	0.20165	-0.49337	-0.29457	-0.63857
182.000	0.13048	-0.58686	-0.39539	-0.70620
183.000	0.09687	-0.53514	-0.25305	-0.71019
184.000	0.05536	-0.43369	-0.27678	-0.65449
185.000	0.11467	-0.50530	-0.27480	-0.53514
186.000	0.11664	-0.28648	-0.34202	-0.67438
187.000	0.07710	-0.52917	-0.35783	-0.72609
188.000	0.18386	-0.37997	-0.25899	-0.63261
189.000	-0.00791	-0.48939	-0.33016	-0.63658
190.000	0.14630	-0.41180	-0.30050	-0.77383
191.000	0.13641	-0.45955	-0.23724	-0.73207
192.000	0.10874	-0.40783	-0.36772	-0.61868
193.000	0.09490	-0.52917	-0.26887	-0.69427
194.000	0.12060	-0.55305	-0.29457	-0.70223
