time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	0.51598	1.17952	-0.23724	0.75792
1.000	0.51005	1.17356	-0.24515	0.76986
2.000	0.52587	1.18747	-0.25503	0.74002
3.000	0.49424	1.14373	-0.22538	0.74400
4.000	0.52191	1.17753	-0.29259	0.72411
5.000	0.53575	1.18151	-0.24910	0.72411
6.000	0.54959	1.12582	-0.22538	0.73605
7.000	0.55354	1.16957	-0.24712	0.74201
8.000	0.49424	1.17754	-0.19177	0.75992
9.000	0.51598	1.20139	-0.23922	0.72411
10.000	0.50808	1.19145	-0.25108	0.76389
11.000	0.51796	1.20338	-0.25503	0.78577
12.000	0.49226	1.17356	-0.28666	0.73007
13.000	0.50610	1.14771	-0.27085	0.75792
14.000	0.45865	1.20141	-0.25899	0.74599
15.000	0.50412	1.15964	-0.25305	0.72411
16.000	0.52191	1.17157	-0.24317	0.75594
17.000	0.47842	1.11391	-0.26887	0.74400
18.000	0.52982	1.19543	-0.23526	0.74201
19.000	0.51598	1.13975	-0.25701	0.74201
20.000	0.48435	1.12385	-0.27480	0.74201
21.000	0.56738	1.14770	-0.25899	0.74599
22.000	0.47249	1.11391	-0.27480	0.72411
23.000	0.50215	1.15367	-0.26096	0.72212
24.000	0.50610	1.14970	-0.23526	0.72013
25.000	0.47447	1.14970	-0.25899	0.70621
26.000	0.49819	1.14970	-0.27876	0.70024
27.000	0.46261	1.14771	-0.26887	0.73803
28.000	0.50412	1.15168	-0.28469	0.74201
29.000	0.53180	1.17753	-0.23922	0.74798
30.000	0.46459	1.14970	-0.28073	0.76190
31.000	0.52389	1.15566	-0.25701	0.75196
32.000	0.50808	1.14373	-0.28073	0.72610
33.000	0.53773	1.15764	-0.27282	0.76986
34.000	0.50215	1.13578	-0.24515	0.75792
35.000	0.50610	1.13180	-0.30248	0.75792
36.000	0.52389	1.18151	-0.24317	0.75196
37.000	0.51598	1.14770	-0.23724	0.78378
38.000	0.48040	1.13379	-0.25701	0.75395
39.000	0.51005	1.15765	-0.23526	0.78378
40.000	0.48831	1.16760	-0.23724	0.76190
41.000	0.54564	1.17952	-0.23724	0.72411
42.000	0.50215	1.16560	-0.24119	0.74798
43.000	0.53575	1.15367	-0.26096	0.75991
44.000	0.50808	1.11987	-0.25108	0.73604
45.000	0.53378	1.17355	-0.25701	0.73803
46.000	0.53180	1.15367	-0.25305	0.75196
47.000	0.53971	1.17753	-0.24317	0.75196
48.000	0.51796	1.15367	-0.25701	0.78776
49.000	0.50215	1.15765	-0.26492	0.76389
50.000	0.53180	1.16361	-0.26887	0.75991
51.000	0.53971	1.19940	-0.24712	0.76190
52.000	0.52587	1.13577	-0.25899	0.77583
53.000	0.54761	1.18548	-0.29852	0.75593
54.000	0.54959	1.19145	-0.21352	0.76588
55.000	0.52784	1.18151	-0.25305	0.79969
56.000	0.56343	1.19542	-0.25701	0.80765
57.000	0.55552	1.14571	-0.24910	0.80367
58.000	0.54564	1.17952	-0.24317	0.78577
59.000	0.52982	1.19742	-0.26492	0.81362
60.000	0.52784	1.18548	-0.26096	0.79572
61.000	0.53773	1.14174	-0.23922	0.81760
62.000	0.52784	1.17753	-0.27085	0.77781
63.000	0.53180	1.16958	-0.24910	0.77583
64.000	0.51598	1.14770	-0.25899	0.79174
65.000	0.54564	1.14969	-0.26689	0.80765
66.000	0.52784	1.16958	-0.25899	0.82157
67.000	0.52587	1.13179	-0.23922	0.79572
68.000	0.54761	1.14571	-0.27480	0.83152
69.000	0.51994	1.15566	-0.25701	0.83947
70.000	0.49424	1.16163	-0.25899	0.81163
71.000	0.50215	1.14373	-0.24712	0.80566
72.000	0.49424	1.13777	-0.28271	0.80566
73.000	0.48040	1.17356	-0.30841	0.82754
74.000	0.49622	1.16958	-0.28073	0.83748
75.000	0.49622	1.15367	-0.30050	0.85140
76.000	0.48238	1.19345	-0.24712	0.81760
77.000	0.48238	1.15169	-0.26887	0.83947
78.000	0.47645	1.14373	-0.27876	0.82953
79.000	0.50808	1.13776	-0.29457	0.84743
80.000	0.47645	1.15567	-0.29655	0.86931
81.000	0.53378	1.13378	-0.25899	0.88721
82.000	0.52389	1.18151	-0.29259	0.85737
83.000	0.50017	1.16362	-0.31236	0.83151
84.000	0.50412	1.19941	-0.30446	0.85339
85.000	0.53773	1.15168	-0.26492	0.92898
86.000	0.50610	1.17356	-0.26689	0.87130
87.000	0.50017	1.17754	-0.29852	0.89317
88.000	0.53378	1.13776	-0.27480	0.91505
89.000	0.49819	1.14970	-0.30050	0.84345
90.000	0.47447	1.14175	-0.26096	0.87925
91.000	0.48435	1.11589	-0.29852	0.87527
92.000	0.48633	1.16561	-0.23329	0.86533
93.000	0.47842	1.16362	-0.29852	0.88124
94.000	0.46459	1.13777	-0.28666	0.86533
95.000	0.47447	1.15964	-0.24317	0.88323
96.000	0.46261	1.15169	-0.27678	0.85141
97.000	0.47645	1.21930	-0.30050	0.85936
98.000	0.49226	1.19345	-0.29457	0.89118
99.000	0.44877	1.19345	-0.29655	0.88522
100.000	0.46656	1.17356	-0.27480	0.88323
101.000	0.48435	1.18152	-0.29852	0.85936
102.000	0.46854	1.15766	-0.28469	0.85737
103.000	0.43691	1.18351	-0.26294	0.88920
104.000	0.50412	1.18549	-0.28666	0.84544
105.000	0.45470	1.19146	-0.32225	0.91903
106.000	0.49226	1.18748	-0.30841	0.86930
107.000	0.46063	1.18550	-0.31632	0.88919
108.000	0.48238	1.17754	-0.26294	0.83947
109.000	0.50808	1.17157	-0.29852	0.88124
110.000	0.48238	1.19941	-0.31039	0.85538
111.000	0.45272	1.20141	-0.28469	0.86533
112.000	0.43691	1.14772	-0.30050	0.87726
113.000	0.49226	1.20538	-0.22538	0.87329
114.000	0.48831	1.18350	-0.32225	0.86731
115.000	0.44284	1.15567	-0.27876	0.85936
116.000	0.46854	1.12783	-0.31434	0.86135
117.000	0.42109	1.19147	-0.27678	0.87130
118.000	0.47052	1.18748	-0.28864	0.87925
119.000	0.45075	1.15965	-0.30841	0.87527
120.000	0.46063	1.14175	-0.27480	0.86732
121.000	0.45865	1.15965	-0.27678	0.88522
122.000	0.43889	1.20936	-0.29852	0.92698
123.000	0.46261	1.19743	-0.28469	0.88323
124.000	0.47842	1.18351	-0.28864	0.92500
125.000	0.45272	1.18948	-0.29852	0.89914
126.000	0.40726	1.16562	-0.27282	0.88920
127.000	0.44086	1.19147	-0.28864	0.91306
128.000	0.46063	1.17754	-0.30248	0.91505
129.000	0.46459	1.18351	-0.30841	0.87925
130.000	0.45272	1.19743	-0.28864	0.88522
131.000	0.42702	1.19743	-0.33016	0.88521
132.000	0.43889	1.19942	-0.27085	0.88920
133.000	0.39935	1.15170	-0.28073	0.88124
134.000	0.39737	1.15568	-0.31236	0.92301
135.000	0.45470	1.15567	-0.30643	0.90113
136.000	0.41714	1.16363	-0.30050	0.91704
137.000	0.42109	1.15965	-0.27678	0.91306
138.000	0.41319	1.17158	-0.30446	0.88522
139.000	0.38551	1.18153	-0.31829	0.91107
140.000	0.43493	1.12584	-0.30643	0.92301
141.000	0.39144	1.17358	-0.29457	0.91107
142.000	0.41319	1.17954	-0.29852	0.96875
143.000	0.42702	1.17158	-0.28469	0.93295
144.000	0.41714	1.14772	-0.29259	0.90908
145.000	0.36179	1.20937	-0.28469	0.92897
146.000	0.41121	1.17755	-0.25503	0.97472
147.000	0.38946	1.13182	-0.31632	0.91306
148.000	0.42900	1.18948	-0.29259	0.90312
149.000	0.40133	1.17159	-0.29259	0.97074
150.000	0.42505	1.14573	-0.31236	0.94488
151.000	0.42109	1.14772	-0.25503	0.91704
152.000	0.41912	1.19743	-0.28864	0.91903
153.000	0.40923	1.14176	-0.30446	0.93892
154.000	0.38749	1.15369	-0.29062	0.92897
155.000	0.38353	1.15369	-0.33016	0.92300
156.000	0.40726	1.16363	-0.36574	0.93294
157.000	0.42505	1.13778	-0.27282	0.92102
158.000	0.41912	1.13380	-0.32225	0.86731
159.000	0.38551	1.15369	-0.28469	0.95284
160.000	0.40923	1.16761	-0.29259	0.97074
161.000	0.37760	1.12784	-0.33213	0.94289
162.000	0.37958	1.14375	-0.30050	0.95682
163.000	0.35190	1.20739	-0.29062	0.92897
164.000	0.38353	1.11392	-0.31236	0.98068
165.000	0.35783	1.13779	-0.31434	0.98864
166.000	0.38551	1.12187	-0.29852	0.97472
167.000	0.36179	1.14375	-0.29852	0.93494
168.000	0.37167	1.09205	-0.32027	0.93096
169.000	0.37958	1.17755	-0.28666	0.95682
170.000	0.35586	1.13580	-0.33016	0.96676
171.000	0.37958	1.14971	-0.31829	0.96875
172.000	0.38353	1.10795	-0.28864	0.90710
173.000	0.39144	1.14971	-0.31829	0.97074
174.000	0.37760	1.11989	-0.30050	0.96477
175.000	0.37167	1.19346	-0.30050	0.99460
176.000	0.35981	1.12983	-0.31632	0.98267
177.000	0.37365	1.11193	-0.30643	1.01847
178.000	0.36179	1.14176	-0.30248	1.00057
179.000	0.35981	1.12188	-0.27480	0.99660
180.000	0.39539	1.13380	-0.32027	0.96875
181.000	0.32818	1.12586	-0.29457	0.97074
182.000	0.40330	1.14573	-0.30050	1.01250
183.000	0.38749	1.11392	-0.29852	0.95881
184.000	0.38353	1.14375	-0.32225	0.99261
185.000	0.35783	1.13182	-0.29062	1.02245
186.000	0.32818	1.09802	-0.30841	0.96278
187.000	0.39144	1.08807	-0.33016	0.98665
188.000	0.34399	1.12188	-0.32225	0.94687
189.000	0.34202	1.14375	-0.31434	0.98068
190.000	0.34993	1.14375	-0.33411	1.00455
191.000	0.32818	1.09603	-0.35190	1.01051
192.000	0.36574	1.09602	-0.31434	0.95483
193.000	0.37167	1.07614	-0.32620	0.95880
194.000	0.34993	1.07415	-0.32027	0.98068
195.000	0.32818	1.09404	-0.32027	0.97471
196.000	0.34993	1.13182	-0.31434	0.97670
197.000	0.35783	1.10398	-0.34202	0.95482
198.000	0.36574	1.09205	-0.33806	0.97869
199.000	0.34993	1.10199	-0.31039	1.00057
200.000	0.35388	1.07813	-0.34795	1.01250
201.000	0.33411	1.08410	-0.33609	0.97471
202.000	0.34202	1.08211	-0.37958	0.97073
203.000	0.31829	1.06819	-0.33411	0.97670
204.000	0.28864	1.06421	-0.34399	1.00653
205.000	0.31632	1.06421	-0.31236	1.01250
206.000	0.32620	1.04631	-0.35190	0.99460
207.000	0.34795	1.06023	-0.40330	0.99658
208.000	0.32225	1.06421	-0.36969	0.99858
209.000	0.36574	1.08011	-0.36376	0.98863
210.000	0.30841	1.08410	-0.38551	0.99658
211.000	0.35190	1.07813	-0.35388	0.99659
212.000	0.30446	1.06222	-0.33213	0.96477
213.000	0.35190	1.07614	-0.37563	1.03040
214.000	0.32422	1.06222	-0.35586	1.00255
215.000	0.33411	1.07415	-0.37167	0.98863
216.000	0.29852	1.05029	-0.38749	1.00454
217.000	0.33213	1.06421	-0.36574	0.99062
218.000	0.32225	1.09006	-0.37365	0.99261
219.000	0.31434	1.01648	-0.36574	0.98267
220.000	0.32422	1.05824	-0.35586	0.95681
221.000	0.33411	1.05426	-0.38551	0.97073
222.000	0.33806	1.11790	-0.38156	0.97272
223.000	0.31434	1.06819	-0.38353	0.99062
224.000	0.31434	1.03040	-0.35586	0.98863
225.000	0.34004	1.10995	-0.38749	0.97471
226.000	0.35783	1.12188	-0.35586	0.97272
227.000	0.33806	1.12188	-0.38946	0.99062
228.000	0.36376	1.07216	-0.37563	0.93692
229.000	0.37760	1.07812	-0.33213	0.99659
230.000	0.37760	1.05426	-0.33411	0.98466
231.000	0.33806	1.04432	-0.36574	0.98465
232.000	0.31829	1.03239	-0.36772	0.99261
233.000	0.37365	1.07812	-0.38551	1.01249
234.000	0.33016	1.05426	-0.36574	1.01051
235.000	0.37958	1.07017	-0.38551	1.01051
236.000	0.35783	1.09006	-0.37167	1.01051
237.000	0.35783	1.05824	-0.39342	1.03636
238.000	0.36574	1.08210	-0.35783	1.02443
239.000	0.36772	1.08807	-0.39737	1.07812
240.000	0.32422	1.03637	-0.39342	1.02642
241.000	0.36179	1.06421	-0.34202	1.00653
242.000	0.32818	1.08012	-0.34795	1.02244
243.000	0.33806	1.06819	-0.38551	1.02443
244.000	0.36772	1.06420	-0.37958	1.03238
245.000	0.32620	1.08211	-0.34597	1.07017
246.000	0.37167	1.07812	-0.36969	1.06420
247.000	0.32818	1.09205	-0.37958	1.05028
248.000	0.38156	1.09602	-0.37760	1.09006
249.000	0.35981	1.08409	-0.36574	1.05426
250.000	0.41121	1.11789	-0.33213	1.00852
251.000	0.33213	1.05426	-0.35586	1.00852
252.000	0.35783	1.04034	-0.29852	0.94687
253.000	0.39144	1.05227	-0.32620	0.90113
254.000	0.34004	1.00057	-0.31236	0.84146
255.000	0.35388	0.97670	-0.28666	0.77185
256.000	0.33016	0.91306	-0.24317	0.74599
257.000	0.32225	0.92102	-0.27085	0.70621
258.000	0.38946	0.86532	-0.24910	0.66046
259.000	0.34399	0.83947	-0.21549	0.60277
260.000	0.35388	0.81162	-0.24910	0.55702
261.000	0.30841	0.75792	-0.26689	0.51723
262.000	0.31039	0.72411	-0.25305	0.45358
263.000	0.33411	0.67040	-0.22538	0.42772
264.000	0.31039	0.65051	-0.23526	0.38793
265.000	0.35586	0.62266	-0.20561	0.34019
266.000	0.36969	0.58486	-0.20165	0.36605
267.000	0.35783	0.56298	-0.22735	0.32029
268.000	0.37365	0.55303	-0.22933	0.33024
269.000	0.35586	0.56497	-0.27085	0.35212
270.000	0.38551	0.61470	-0.27282	0.36008
271.000	0.35586	0.56099	-0.27085	0.36008
272.000	0.38946	0.57094	-0.25503	0.34417
273.000	0.39144	0.63857	-0.26096	0.35013
274.000	0.38353	0.58088	-0.27678	0.38594
275.000	0.40726	0.60475	-0.28271	0.38395
276.000	0.44877	0.61867	-0.26096	0.41777
277.000	0.41516	0.62862	-0.28666	0.45159
278.000	0.38353	0.62067	-0.27480	0.43965
279.000	0.41714	0.63061	-0.30841	0.40981
280.000	0.42900	0.62663	-0.26096	0.43368
281.000	0.45668	0.64652	-0.31632	0.42175
282.000	0.41912	0.64254	-0.28666	0.43766
283.000	0.40528	0.61868	-0.29062	0.42970
284.000	0.42109	0.59480	-0.32027	0.42572
285.000	0.45470	0.61867	-0.29457	0.42573
286.000	0.42900	0.63856	-0.26887	0.46551
287.000	0.35981	0.58685	-0.27480	0.45358
288.000	0.41121	0.61271	-0.28073	0.43766
289.000	0.46656	0.60077	-0.28271	0.38992
290.000	0.43691	0.56099	-0.26492	0.42374
291.000	0.40923	0.60873	-0.24515	0.44164
292.000	0.41319	0.58884	-0.26689	0.41777
293.000	0.39737	0.58287	-0.26689	0.42772
294.000	0.42900	0.58685	-0.25108	0.40385
295.000	0.41912	0.55701	-0.26689	0.42971
296.000	0.41121	0.57889	-0.27876	0.37003
297.000	0.40726	0.57491	-0.25108	0.40981
298.000	0.43889	0.63459	-0.27282	0.40186
299.000	0.44284	0.58883	-0.28073	0.43169
300.000	0.41912	0.59480	-0.26887	0.41976
301.000	0.42109	0.57093	-0.27282	0.42573
302.000	0.47249	0.60872	-0.27678	0.40185
303.000	0.42505	0.57093	-0.29457	0.39191
304.000	0.39539	0.59282	-0.27876	0.41379
305.000	0.44482	0.59878	-0.27678	0.40583
306.000	0.46656	0.58088	-0.28666	0.40185
307.000	0.41319	0.56497	-0.27085	0.40186
308.000	0.51796	0.56098	-0.31039	0.40782
309.000	0.47052	0.58684	-0.29852	0.38594
310.000	0.45668	0.58287	-0.28469	0.40782
311.000	0.47052	0.57093	-0.30050	0.40782
312.000	0.49028	0.58883	-0.30643	0.44363
313.000	0.44086	0.61072	-0.32620	0.36008
314.000	0.49226	0.63259	-0.29852	0.40185
315.000	0.47645	0.59878	-0.28271	0.44761
316.000	0.49226	0.61867	-0.29062	0.41777
317.000	0.44877	0.59480	-0.28666	0.45756
318.000	0.45668	0.61270	-0.30050	0.42374
319.000	0.50808	0.59679	-0.31434	0.43766
320.000	0.47249	0.59281	-0.28666	0.38594
321.000	0.47249	0.63060	-0.27678	0.41180
322.000	0.46063	0.59281	-0.32027	0.44562
323.000	0.50412	0.61867	-0.29457	0.39788
324.000	0.45470	0.59281	-0.29259	0.40782
325.000	0.50412	0.62265	-0.31434	0.47347
326.000	0.50808	0.60872	-0.31434	0.43766
327.000	0.51598	0.61270	-0.32422	0.46551
328.000	0.46261	0.60674	-0.31039	0.47347
329.000	0.50017	0.65248	-0.29852	0.45358
330.000	0.51005	0.59281	-0.28271	0.48938
331.000	0.51005	0.63657	-0.28864	0.45557
332.000	0.45272	0.60276	-0.32225	0.52519
333.000	0.45470	0.63856	-0.31039	0.44363
334.000	0.49622	0.59679	-0.32620	0.47148
335.000	0.48831	0.59082	-0.31236	0.48341
336.000	0.52784	0.63259	-0.34993	0.51126
337.000	0.51796	0.58485	-0.30446	0.48540
338.000	0.50215	0.63259	-0.36574	0.50132
339.000	0.53180	0.61469	-0.34004	0.49734
340.000	0.47842	0.60872	-0.29655	0.54508
341.000	0.53773	0.61667	-0.32818	0.54309
342.000	0.50017	0.62861	-0.34597	0.51524
343.000	0.50610	0.63259	-0.32620	0.52519
344.000	0.49226	0.59878	-0.33806	0.53314
345.000	0.48435	0.60276	-0.36969	0.53115
346.000	0.50017	0.61270	-0.34795	0.52121
347.000	0.50017	0.60275	-0.35190	0.51922
348.000	0.51203	0.64055	-0.33806	0.49535
349.000	0.50808	0.58087	-0.30643	0.54508
350.000	0.53971	0.68430	-0.31039	0.55503
351.000	0.51598	0.63060	-0.30643	0.54508
352.000	0.49819	0.60077	-0.33213	0.54110
353.000	0.50412	0.60673	-0.31632	0.54508
354.000	0.53971	0.61071	-0.33016	0.54110
355.000	0.48831	0.62066	-0.30050	0.55901
356.000	0.52389	0.57689	-0.34399	0.53513
357.000	0.50412	0.63259	-0.34597	0.56696
358.000	0.47645	0.59480	-0.30841	0.52917
359.000	0.54168	0.62861	-0.33806	0.52320
360.000	0.50808	0.63259	-0.32027	0.52917
361.000	0.49028	0.62861	-0.32027	0.51723
362.000	0.53180	0.66242	-0.34795	0.55304
363.000	0.54959	0.63656	-0.31632	0.53911
364.000	0.48040	0.64652	-0.32818	0.58685
365.000	0.50808	0.64651	-0.37958	0.53513
366.000	0.51994	0.61668	-0.33016	0.54707
367.000	0.51203	0.60474	-0.31829	0.52519
368.000	0.51796	0.63657	-0.31434	0.57293
369.000	0.49424	0.65845	-0.31829	0.56099
370.000	0.51598	0.65646	-0.27282	0.57094
371.000	0.51005	0.62264	-0.31829	0.55304
372.000	0.52982	0.60474	-0.30050	0.54906
373.000	0.51796	0.67237	-0.31632	0.54309
374.000	0.51796	0.65049	-0.34993	0.54707
375.000	0.48435	0.63060	-0.32422	0.57691
376.000	0.50215	0.63060	-0.32818	0.53911
377.000	0.52982	0.64651	-0.34993	0.55105
378.000	0.50215	0.61668	-0.34004	0.55105
379.000	0.51401	0.66640	-0.34597	0.54309
380.000	0.49819	0.61668	-0.31039	0.57890
381.000	0.53773	0.63657	-0.34795	0.58884
382.000	0.55157	0.61071	-0.32225	0.60476
383.000	0.51994	0.60275	-0.33213	0.58089
384.000	0.51598	0.63458	-0.34993	0.62266
385.000	0.48633	0.64254	-0.29062	0.58686
386.000	0.51401	0.65248	-0.33213	0.62266
387.000	0.53378	0.71016	-0.31829	0.59481
388.000	0.52982	0.61668	-0.31039	0.60874
389.000	0.56540	0.69027	-0.30841	0.64454
390.000	0.55947	0.63457	-0.32422	0.62664
391.000	0.56145	0.66441	-0.33213	0.60873
392.000	0.56738	0.65049	-0.30446	0.66443
393.000	0.56343	0.67436	-0.31039	0.61470
394.000	0.54366	0.65447	-0.31829	0.71416
395.000	0.55157	0.64651	-0.31829	0.68034
396.000	0.53971	0.63259	-0.32620	0.65051
397.000	0.57727	0.63855	-0.25701	0.64255
398.000	0.57133	0.64850	-0.33609	0.64056
399.000	0.58913	0.66441	-0.32027	0.61669
400.000	0.57727	0.64651	-0.31236	0.64852
401.000	0.58715	0.70419	-0.34795	0.67636
402.000	0.59901	0.64650	-0.32620	0.69029
403.000	0.59703	0.65844	-0.34993	0.64454
404.000	0.57331	0.67634	-0.30446	0.69029
405.000	0.59506	0.68231	-0.31236	0.67239
406.000	0.57529	0.64054	-0.31039	0.65449
407.000	0.54366	0.68828	-0.33411	0.66045
408.000	0.56145	0.69624	-0.29062	0.64056
409.000	0.57133	0.66640	-0.31039	0.66244
410.000	0.57924	0.67435	-0.31829	0.70819
411.000	0.57924	0.71016	-0.32027	0.69427
412.000	0.58517	0.67037	-0.32620	0.65449
413.000	0.60099	0.69225	-0.34597	0.66642
414.000	0.63262	0.70020	-0.30050	0.69427
415.000	0.60296	0.66441	-0.30446	0.64255
416.000	0.55947	0.64054	-0.33016	0.63857
417.000	0.58913	0.68032	-0.32027	0.68631
418.000	0.56738	0.66242	-0.30643	0.65648
419.000	0.57331	0.66242	-0.32620	0.60675
420.000	0.59110	0.64849	-0.31829	0.69427
421.000	0.59703	0.69623	-0.29655	0.65847
422.000	0.62273	0.65645	-0.34597	0.62266
423.000	0.54366	0.64253	-0.31632	0.59481
424.000	0.58913	0.66242	-0.35190	0.61868
425.000	0.56738	0.63060	-0.35586	0.62266
426.000	0.56540	0.62463	-0.35388	0.55105
427.000	0.56936	0.63457	-0.35388	0.61271
428.000	0.56936	0.64054	-0.30841	0.58487
429.000	0.51796	0.64651	-0.32225	0.62664
430.000	0.52191	0.66044	-0.34597	0.59282
431.000	0.53575	0.65646	-0.35783	0.60475
432.000	0.53575	0.63458	-0.29259	0.61272
433.000	0.51598	0.61867	-0.34399	0.59680
434.000	0.51005	0.62662	-0.35981	0.60674
