time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	0.60494	-0.60075	0.69192	-0.25463
1.000	0.67215	-0.59080	0.67017	-0.24866
2.000	0.61087	-0.55103	0.71959	-0.18301
3.000	0.64645	-0.56097	0.70773	-0.23672
4.000	0.61878	-0.58086	0.66820	-0.28447
5.000	0.61285	-0.60672	0.63657	-0.24468
6.000	0.60889	-0.55699	0.65238	-0.22678
7.000	0.59308	-0.60473	0.64843	-0.24667
8.000	0.62471	-0.57489	0.69587	-0.26457
9.000	0.60296	-0.61468	0.66820	-0.24468
10.000	0.62273	-0.54307	0.68203	-0.26457
11.000	0.68599	-0.55897	0.67215	-0.22877
12.000	0.63855	-0.55301	0.73936	-0.16909
13.000	0.63657	-0.54704	0.65238	-0.15715
14.000	0.68006	-0.58284	0.67215	-0.20092
15.000	0.61285	-0.52119	0.67808	-0.20490
16.000	0.63459	-0.57091	0.67017	-0.22081
17.000	0.62668	-0.57887	0.66424	-0.22081
18.000	0.59506	-0.57490	0.66227	-0.23872
19.000	0.62471	-0.57092	0.70575	-0.21484
20.000	0.61680	-0.60075	0.68994	-0.25463
21.000	0.62471	-0.57290	0.66622	-0.20291
22.000	0.60099	-0.60672	0.64448	-0.23673
23.000	0.59110	-0.60076	0.66820	-0.24269
24.000	0.63459	-0.53312	0.68203	-0.20490
25.000	0.65436	-0.57091	0.71366	-0.16312
26.000	0.63459	-0.57887	0.64843	-0.19296
27.000	0.60296	-0.58086	0.70575	-0.19097
28.000	0.62273	-0.51920	0.71366	-0.18699
29.000	0.61878	-0.56097	0.68599	-0.17904
30.000	0.65041	-0.58484	0.67413	-0.21484
31.000	0.60494	-0.57689	0.67413	-0.20490
32.000	0.60099	-0.55898	0.71366	-0.26059
33.000	0.60889	-0.61070	0.67610	-0.22280
34.000	0.58715	-0.58484	0.66029	-0.18103
35.000	0.63657	-0.57887	0.67808	-0.20490
36.000	0.60692	-0.57490	0.67017	-0.17506
37.000	0.64052	-0.54108	0.67610	-0.21086
38.000	0.60889	-0.58285	0.69785	-0.23275
39.000	0.60099	-0.54506	0.71959	-0.22081
40.000	0.63459	-0.61865	0.66820	-0.18898
41.000	0.60692	-0.55699	0.68796	-0.21484
42.000	0.60296	-0.53909	0.68796	-0.21285
43.000	0.62668	-0.59677	0.70575	-0.20092
44.000	0.66424	-0.58285	0.70575	-0.22877
45.000	0.64052	-0.54903	0.69982	-0.20689
46.000	0.59506	-0.54705	0.67610	-0.22678
47.000	0.63459	-0.54903	0.73540	-0.26656
48.000	0.61878	-0.57291	0.69587	-0.22877
49.000	0.66029	-0.57290	0.75122	-0.20688
50.000	0.62075	-0.54705	0.69389	-0.21285
51.000	0.61878	-0.62263	0.70971	-0.21285
52.000	0.60889	-0.54506	0.70575	-0.18898
53.000	0.62075	-0.55699	0.69587	-0.22081
54.000	0.62471	-0.55699	0.72750	-0.22479
55.000	0.60494	-0.53113	0.72354	-0.22877
56.000	0.60296	-0.52119	0.75715	-0.24269
57.000	0.63459	-0.57688	0.72947	-0.21086
58.000	0.69587	-0.55897	0.71959	-0.15516
59.000	0.64843	-0.56097	0.69982	-0.24070
60.000	0.71959	-0.51919	0.69982	-0.20291
61.000	0.63064	-0.58683	0.74331	-0.25065
62.000	0.67610	-0.51323	0.71168	-0.22280
63.000	0.67610	-0.54107	0.72750	-0.22479
64.000	0.64448	-0.58683	0.66622	-0.23673
65.000	0.63262	-0.53909	0.72750	-0.20489
66.000	0.64645	-0.50527	0.74133	-0.22081
67.000	0.65436	-0.57489	0.75122	-0.19097
68.000	0.60296	-0.55103	0.76505	-0.23871
69.000	0.64250	-0.59478	0.74331	-0.23871
70.000	0.61878	-0.58285	0.73145	-0.20688
71.000	0.63459	-0.53909	0.73343	-0.20887
72.000	0.63064	-0.54903	0.70180	-0.21882
73.000	0.59308	-0.53909	0.73343	-0.19097
74.000	0.66424	-0.57489	0.76505	-0.18500
75.000	0.62866	-0.56296	0.70575	-0.19296
76.000	0.61285	-0.55103	0.73145	-0.22479
77.000	0.63262	-0.59478	0.76110	-0.21683
78.000	0.63657	-0.53710	0.71366	-0.21484
79.000	0.64052	-0.56892	0.72157	-0.15118
80.000	0.58122	-0.57490	0.71564	-0.17705
81.000	0.56145	-0.52915	0.69785	-0.15119
82.000	0.55552	-0.51920	0.70575	-0.16113
83.000	0.43098	-0.58685	0.61482	-0.12533
84.000	0.32027	-0.52718	0.57529	-0.02984
85.000	0.22735	-0.48541	0.48435	0.00000
86.000	0.16804	-0.43767	0.33411	0.02188
87.000	-0.03163	-0.39191	0.24515	0.04377
88.000	-0.10874	-0.29841	0.14827	0.11340
89.000	-0.24712	-0.27852	0.00000	0.23077
90.000	-0.39737	-0.22082	-0.07117	0.26459
91.000	-0.55157	-0.23275	-0.17595	0.37600
92.000	-0.59901	-0.13527	-0.31434	0.33024
93.000	-0.73145	-0.14920	-0.45075	0.43368
94.000	-0.73936	-0.08554	-0.50610	0.41776
95.000	-0.78284	-0.05371	-0.53773	0.48141
96.000	-0.79273	-0.07758	-0.62668	0.51522
97.000	-0.81842	-0.06167	-0.56738	0.54904
98.000	-0.73540	-0.05769	-0.59506	0.48340
99.000	-0.69785	-0.04774	-0.59110	0.52517
100.000	-0.70773	-0.04376	-0.51598	0.46351
101.000	-0.66029	-0.04774	-0.46854	0.52120
102.000	-0.66424	-0.04575	-0.45272	0.45357
103.000	-0.56145	-0.02984	-0.40330	0.44760
104.000	-0.54564	-0.10345	-0.35586	0.45954
105.000	-0.55750	-0.07361	-0.33609	0.40583
106.000	-0.52191	-0.10544	-0.36574	0.39787
107.000	-0.49028	-0.14323	-0.32422	0.35809
108.000	-0.46063	-0.07560	-0.28271	0.40384
109.000	-0.49622	-0.03183	-0.32225	0.43766
110.000	-0.42900	-0.13926	-0.30446	0.32228
111.000	-0.48831	-0.07162	-0.30841	0.38395
112.000	-0.49226	-0.09350	-0.33411	0.32825
113.000	-0.49622	-0.13329	-0.31434	0.36804
114.000	-0.55552	-0.15119	-0.28469	0.39788
115.000	-0.53575	-0.18501	-0.29655	0.36008
116.000	-0.50215	-0.17705	-0.28271	0.34814
117.000	-0.48040	-0.11936	-0.28271	0.36008
118.000	-0.47447	-0.15517	-0.27480	0.32029
119.000	-0.48831	-0.17307	-0.26887	0.38992
120.000	-0.49424	-0.19098	-0.26492	0.36804
121.000	-0.49226	-0.14323	-0.20758	0.38395
122.000	-0.45075	-0.14125	-0.25503	0.37997
123.000	-0.51203	-0.16711	-0.19968	0.41976
124.000	-0.41912	-0.12732	-0.22538	0.36605
125.000	-0.48040	-0.22082	-0.26689	0.38196
126.000	-0.45668	-0.21286	-0.20165	0.38594
127.000	-0.50215	-0.17108	-0.21549	0.41379
128.000	-0.51401	-0.17904	-0.23526	0.37599
129.000	-0.46261	-0.20093	-0.23922	0.37599
130.000	-0.49226	-0.14522	-0.21352	0.36804
131.000	-0.51598	-0.20689	-0.26887	0.37599
132.000	-0.46261	-0.13926	-0.21154	0.38196
133.000	-0.46656	-0.15318	-0.22735	0.33024
134.000	-0.47052	-0.12533	-0.25503	0.36207
135.000	-0.47052	-0.13130	-0.19770	0.36207
136.000	-0.47447	-0.13329	-0.19375	0.30637
137.000	-0.44679	-0.18700	-0.21549	0.32228
138.000	-0.48238	-0.15716	-0.20165	0.34218
139.000	-0.46063	-0.12931	-0.23724	0.36804
140.000	-0.55750	-0.11538	-0.24712	0.37202
141.000	-0.46854	-0.20093	-0.18781	0.29244
142.000	-0.47052	-0.19098	-0.22340	0.38395
143.000	-0.47447	-0.16711	-0.21154	0.36406
144.000	-0.43296	-0.15716	-0.19968	0.29244
145.000	-0.45668	-0.15915	-0.21154	0.31035
146.000	-0.46459	-0.12533	-0.21154	0.40385
147.000	-0.44679	-0.15517	-0.17002	0.36406
148.000	-0.47447	-0.13926	-0.21945	0.31035
149.000	-0.45865	-0.15517	-0.21154	0.33621
150.000	-0.46459	-0.15119	-0.21945	0.25067
151.000	-0.44284	-0.13727	-0.21352	0.38793
152.000	-0.51796	-0.14920	-0.17991	0.34616
153.000	-0.49424	-0.18700	-0.23526	0.37997
154.000	-0.50610	-0.11140	-0.20758	0.34814
155.000	-0.49424	-0.15716	-0.20363	0.32626
156.000	-0.45075	-0.15318	-0.19770	0.42971
157.000	-0.45865	-0.15915	-0.24317	0.35809
158.000	-0.41714	-0.13727	-0.23526	0.37599
159.000	-0.45470	-0.11339	-0.17793	0.38395
160.000	-0.40330	-0.08554	-0.19968	0.36804
161.000	-0.46261	-0.11140	-0.20758	0.38395
162.000	-0.51401	-0.13528	-0.18781	0.34616
163.000	-0.47052	-0.15517	-0.18781	0.43369
164.000	-0.50215	-0.13130	-0.22538	0.31830
165.000	-0.45668	-0.15517	-0.22538	0.38395
166.000	-0.48435	-0.14920	-0.26887	0.37202
167.000	-0.47645	-0.14920	-0.24910	0.34417
168.000	-0.52587	-0.18103	-0.22142	0.36207
169.000	-0.49226	-0.15716	-0.24712	0.34814
170.000	-0.51401	-0.16313	-0.23131	0.37798
171.000	-0.44482	-0.18302	-0.23526	0.36406
172.000	-0.51401	-0.12533	-0.23724	0.39589
173.000	-0.47645	-0.10942	-0.17200	0.41180
174.000	-0.45075	-0.16313	-0.21747	0.39987
175.000	-0.47842	-0.09947	-0.21747	0.38992
176.000	-0.48831	-0.17705	-0.22340	0.41180
177.000	-0.47645	-0.14721	-0.23131	0.41578
178.000	-0.46063	-0.14522	-0.24910	0.45159
179.000	-0.48238	-0.08554	-0.23131	0.46551
180.000	-0.45075	-0.20292	-0.19770	0.45358
181.000	-0.50808	-0.09350	-0.21154	0.47944
182.000	-0.47645	-0.06963	-0.20165	0.45159
183.000	-0.49819	-0.10146	-0.27282	0.46153
184.000	-0.48238	-0.18501	-0.20758	0.45557
185.000	-0.47842	-0.15318	-0.23526	0.46949
186.000	-0.52784	-0.12931	-0.24119	0.40583
187.000	-0.49226	-0.13130	-0.21747	0.44164
188.000	-0.53575	-0.13528	-0.20561	0.43766
189.000	-0.51796	-0.13528	-0.26689	0.35809
190.000	-0.47052	-0.13528	-0.25503	0.45756
191.000	-0.46459	-0.14920	-0.24119	0.43567
192.000	-0.52982	-0.15119	-0.20363	0.38992
193.000	-0.45865	-0.17705	-0.26096	0.45955
194.000	-0.54564	-0.12334	-0.23724	0.45358
195.000	-0.55354	-0.13528	-0.20363	0.47148
196.000	-0.52389	-0.13528	-0.23526	0.44562
197.000	-0.50610	-0.13925	-0.23922	0.45557
198.000	-0.51994	-0.16909	-0.25305	0.44164
199.000	-0.52982	-0.11538	-0.25108	0.42971
200.000	-0.56343	-0.13527	-0.24119	0.45557
201.000	-0.53378	-0.15915	-0.23329	0.45756
202.000	-0.54168	-0.10345	-0.32422	0.39986
203.000	-0.52587	-0.12135	-0.23724	0.41578
204.000	-0.53378	-0.14920	-0.26294	0.45756
205.000	-0.51598	-0.10941	-0.31039	0.43766
206.000	-0.52587	-0.16512	-0.23526	0.45159
207.000	-0.50808	-0.13130	-0.25899	0.41578
208.000	-0.53773	-0.12135	-0.25305	0.41379
209.000	-0.56738	-0.18501	-0.29259	0.38395
210.000	-0.51598	-0.15119	-0.25503	0.37003
211.000	-0.53378	-0.20888	-0.25701	0.39191
212.000	-0.57727	-0.13527	-0.30643	0.42573
213.000	-0.49226	-0.14124	-0.29457	0.43567
214.000	-0.53773	-0.11538	-0.28864	0.40782
215.000	-0.50017	-0.12334	-0.26887	0.41180
216.000	-0.50610	-0.16711	-0.26294	0.43368
217.000	-0.55354	-0.18103	-0.29259	0.46949
218.000	-0.52191	-0.12334	-0.28864	0.41976
219.000	-0.57133	-0.16909	-0.28864	0.37798
220.000	-0.52587	-0.12533	-0.28469	0.34217
221.000	-0.52191	-0.14522	-0.24910	0.41976
222.000	-0.51203	-0.12334	-0.27876	0.42772
223.000	-0.53971	-0.13726	-0.27876	0.38992
224.000	-0.49622	-0.12135	-0.25503	0.39788
225.000	-0.59308	-0.15517	-0.26887	0.38594
226.000	-0.49424	-0.15915	-0.24119	0.33820
227.000	-0.52389	-0.08753	-0.27282	0.37997
228.000	-0.52191	-0.14323	-0.27480	0.37997
229.000	-0.57924	-0.12334	-0.27678	0.39987
230.000	-0.48831	-0.16512	-0.29655	0.38196
231.000	-0.51598	-0.17904	-0.27480	0.41578
232.000	-0.62273	-0.16909	-0.25305	0.36406
233.000	-0.54168	-0.20092	-0.27282	0.38992
234.000	-0.57529	-0.13726	-0.25305	0.43567
235.000	-0.57924	-0.19098	-0.24712	0.38395
236.000	-0.50215	-0.11339	-0.27876	0.36804
237.000	-0.59901	-0.15716	-0.27282	0.31830
238.000	-0.55354	-0.15517	-0.27085	0.36804
239.000	-0.50610	-0.11339	-0.27876	0.40782
240.000	-0.54168	-0.14124	-0.29457	0.42772
241.000	-0.53575	-0.14323	-0.25899	0.38992
242.000	-0.56936	-0.13329	-0.26096	0.41379
243.000	-0.54366	-0.13130	-0.31632	0.38992
244.000	-0.56738	-0.11737	-0.27282	0.35411
245.000	-0.48040	-0.12135	-0.26096	0.36804
246.000	-0.52784	-0.12931	-0.27876	0.42772
247.000	-0.54366	-0.15915	-0.25305	0.36207
248.000	-0.52191	-0.14522	-0.23526	0.39390
249.000	-0.51598	-0.11140	-0.25305	0.43368
250.000	-0.54761	-0.13130	-0.25108	0.36406
251.000	-0.49226	-0.12533	-0.31632	0.44164
252.000	-0.53180	-0.14522	-0.20363	0.45159
253.000	-0.55157	-0.15318	-0.26689	0.38196
254.000	-0.54366	-0.15517	-0.26689	0.42772
255.000	-0.54366	-0.16114	-0.24119	0.47546
256.000	-0.51994	-0.17705	-0.26096	0.43368
257.000	-0.53575	-0.12334	-0.22538	0.46551
258.000	-0.56343	-0.12334	-0.24317	0.42573
259.000	-0.55157	-0.15119	-0.25108	0.44761
260.000	-0.56540	-0.20490	-0.23922	0.46352
261.000	-0.50412	-0.15318	-0.21549	0.47944
262.000	-0.51796	-0.16711	-0.28864	0.48540
263.000	-0.53378	-0.13726	-0.22340	0.47148
264.000	-0.56540	-0.16909	-0.22142	0.47944
265.000	-0.49226	-0.10941	-0.17991	0.42971
266.000	-0.52191	-0.13528	-0.24712	0.44960
267.000	-0.50215	-0.15517	-0.23329	0.47546
268.000	-0.51598	-0.10544	-0.22735	0.45358
269.000	-0.55552	-0.13130	-0.21747	0.46154
270.000	-0.57727	-0.15716	-0.22735	0.50331
271.000	-0.55552	-0.10742	-0.25503	0.44761
272.000	-0.52784	-0.14323	-0.21945	0.45756
273.000	-0.55354	-0.11339	-0.23131	0.43567
274.000	-0.54168	-0.06963	-0.23329	0.39987
275.000	-0.52389	-0.14323	-0.27282	0.41180
276.000	-0.52587	-0.12732	-0.27282	0.37599
277.000	-0.57331	-0.08952	-0.28271	0.39788
278.000	-0.56540	-0.08554	-0.23526	0.43369
279.000	-0.55947	-0.10941	-0.26887	0.36605
280.000	-0.54761	-0.10146	-0.24515	0.46750
281.000	-0.52784	-0.09549	-0.26096	0.41180
282.000	-0.55552	-0.11936	-0.28271	0.38196
283.000	-0.55947	-0.10345	-0.29259	0.37997
284.000	-0.55354	-0.06764	-0.24515	0.38395
285.000	-0.55750	-0.10146	-0.21549	0.35013
286.000	-0.52587	-0.11737	-0.23922	0.39191
287.000	-0.53773	-0.07758	-0.25108	0.34019
288.000	-0.51401	-0.07957	-0.23724	0.39987
289.000	-0.56540	-0.10941	-0.28666	0.30239
290.000	-0.58913	-0.14721	-0.24515	0.35212
291.000	-0.55947	-0.11936	-0.18386	0.31035
292.000	-0.55157	-0.06565	-0.28469	0.32029
293.000	-0.54564	-0.12931	-0.26096	0.40186
294.000	-0.58913	-0.12732	-0.26887	0.34615
295.000	-0.56738	-0.11936	-0.21945	0.28647
296.000	-0.51994	-0.07361	-0.26689	0.33223
297.000	-0.51796	-0.15119	-0.26096	0.30239
298.000	-0.56936	-0.16114	-0.25305	0.31234
299.000	-0.53378	-0.11140	-0.24515	0.32228
300.000	-0.54959	-0.07560	-0.27282	0.31035
301.000	-0.56738	-0.13925	-0.22142	0.27255
302.000	-0.53180	-0.10544	-0.25503	0.26857
303.000	-0.58122	-0.10742	-0.19968	0.30239
304.000	-0.56145	-0.07758	-0.24910	0.35411
305.000	-0.60692	-0.06764	-0.21352	0.31433
306.000	-0.60099	-0.10146	-0.20956	0.32825
307.000	-0.57529	-0.08355	-0.23724	0.25663
308.000	-0.59308	-0.13130	-0.27480	0.35212
309.000	-0.58320	-0.08554	-0.18979	0.33223
310.000	-0.62668	-0.09151	-0.21154	0.26061
311.000	-0.53575	-0.13329	-0.23724	0.29045
312.000	-0.56936	-0.12334	-0.23526	0.25067
313.000	-0.61087	-0.14323	-0.23329	0.28448
314.000	-0.51401	-0.12533	-0.22538	0.34218
315.000	-0.58913	-0.13130	-0.20363	0.24669
316.000	-0.54366	-0.11936	-0.20758	0.25067
317.000	-0.60296	-0.11140	-0.23526	0.30836
318.000	-0.60296	-0.10543	-0.21549	0.30040
319.000	-0.52191	-0.10743	-0.22340	0.30637
320.000	-0.53575	-0.12135	-0.23131	0.28647
321.000	-0.65831	-0.11140	-0.19968	0.28846
322.000	-0.58320	-0.14323	-0.23526	0.29045
323.000	-0.59506	-0.09549	-0.20363	0.31433
324.000	-0.59506	-0.09748	-0.19968	0.30239
325.000	-0.50017	-0.12931	-0.23131	0.31631
326.000	-0.60099	-0.08355	-0.24119	0.29244
327.000	-0.61680	-0.09549	-0.22340	0.34019
328.000	-0.53773	-0.10345	-0.16211	0.35014
329.000	-0.55947	-0.10941	-0.23724	0.33621
